null,tau,lmin,obs,nullreg,fdr
genetic (MVN),0.02,1,134,0.27,0.00201492537313433
genetic (MVN),0.02,2,61,0.04,0.000655737704918033
genetic (MVN),0.02,3,39,0.01,0.000256410256410256
genetic (MVN),0.02,5,16,0,0
genetic (MVN),0.02,10,8,0,0
genetic (MVN),0.02,15,6,0,0
genetic (MVN),0.02,20,5,0,0
genetic (MVN),0.04,1,82,0.21,0.0025609756097561
genetic (MVN),0.04,2,27,0.02,0.000740740740740741
genetic (MVN),0.04,3,19,0.01,0.000526315789473684
genetic (MVN),0.04,5,9,0,0
genetic (MVN),0.04,10,4,0,0
genetic (MVN),0.04,15,3,0,0
genetic (MVN),0.04,20,3,0,0
genetic (MVN),0.06,1,55,0.21,0.00381818181818182
genetic (MVN),0.06,2,16,0.02,0.00125
genetic (MVN),0.06,3,13,0.01,0.000769230769230769
genetic (MVN),0.06,5,8,0,0
genetic (MVN),0.06,10,3,0,0
genetic (MVN),0.06,15,3,0,0
genetic (MVN),0.06,20,3,0,0
genetic (MVN),0.08,1,42,0.18,0.00428571428571429
genetic (MVN),0.08,2,13,0.01,0.000769230769230769
genetic (MVN),0.08,3,8,0.01,0.00125
genetic (MVN),0.08,5,3,0,0
genetic (MVN),0.08,10,3,0,0
genetic (MVN),0.08,15,1,0,0
genetic (MVN),0.08,20,1,0,0
genetic (MVN),0.1,1,35,0.15,0.00428571428571429
genetic (MVN),0.1,2,12,0.01,0.000833333333333333
genetic (MVN),0.1,3,8,0.01,0.00125
genetic (MVN),0.1,5,3,0,0
genetic (MVN),0.1,10,2,0,0
genetic (MVN),0.1,15,1,0,0
genetic (MVN),0.1,20,1,0,0
genetic (MVN),0.12,1,34,0.15,0.00441176470588235
genetic (MVN),0.12,2,12,0.01,0.000833333333333333
genetic (MVN),0.12,3,7,0.01,0.00142857142857143
genetic (MVN),0.12,5,3,0,0
genetic (MVN),0.12,10,2,0,0
genetic (MVN),0.12,15,1,0,0
genetic (MVN),0.12,20,1,0,0
genetic (MVN),0.14,1,30,0.13,0.00433333333333333
genetic (MVN),0.14,2,11,0.01,0.000909090909090909
genetic (MVN),0.14,3,6,0.01,0.00166666666666667
genetic (MVN),0.14,5,2,0,0
genetic (MVN),0.14,10,1,0,0
genetic (MVN),0.14,15,1,0,0
genetic (MVN),0.14,20,1,0,0
genetic (MVN),0.16,1,25,0.13,0.0052
genetic (MVN),0.16,2,10,0.01,0.001
genetic (MVN),0.16,3,6,0.01,0.00166666666666667
genetic (MVN),0.16,5,2,0,0
genetic (MVN),0.16,10,1,0,0
genetic (MVN),0.16,15,1,0,0
genetic (MVN),0.16,20,1,0,0
genetic (MVN),0.18,1,25,0.13,0.0052
genetic (MVN),0.18,2,9,0.01,0.00111111111111111
genetic (MVN),0.18,3,5,0.01,0.002
genetic (MVN),0.18,5,2,0,0
genetic (MVN),0.18,10,1,0,0
genetic (MVN),0.18,15,1,0,0
genetic (MVN),0.18,20,1,0,0
genetic (MVN),0.2,1,23,0.13,0.00565217391304348
genetic (MVN),0.2,2,9,0.01,0.00111111111111111
genetic (MVN),0.2,3,4,0.01,0.0025
genetic (MVN),0.2,5,2,0,0
genetic (MVN),0.2,10,1,0,0
genetic (MVN),0.2,15,1,0,0
genetic (MVN),0.2,20,1,0,0
genetic (MVN),0.22,1,23,0.13,0.00565217391304348
genetic (MVN),0.22,2,9,0.01,0.00111111111111111
genetic (MVN),0.22,3,4,0.01,0.0025
genetic (MVN),0.22,5,2,0,0
genetic (MVN),0.22,10,1,0,0
genetic (MVN),0.22,15,1,0,0
genetic (MVN),0.22,20,0,0,0
genetic (MVN),0.24,1,22,0.11,0.005
genetic (MVN),0.24,2,9,0.01,0.00111111111111111
genetic (MVN),0.24,3,4,0.01,0.0025
genetic (MVN),0.24,5,2,0,0
genetic (MVN),0.24,10,1,0,0
genetic (MVN),0.24,15,0,0,0
genetic (MVN),0.24,20,0,0,0
genetic (MVN),0.26,1,21,0.1,0.00476190476190476
genetic (MVN),0.26,2,8,0.01,0.00125
