label,cells_detected,frac_raw_p_sig,frac_BH_sig,median_emp_p,median_q,at_p_floor,median_ntested,lost_to_BH
A01_Chr1:27.28-27.28Mb,11,1,1,0.0199004975124378,0.0248756218905473,0,39,0
A02_Chr1:21.50-21.93Mb*inv,21,1,1,0.0149253731343284,0.0235361653272101,0,9,0
A03_Chr3:13.03-13.03Mb,6,1,1,0.00497512437810945,0.0226545842217484,1,50,0
A04_Chr4:22.51-22.51Mb,25,1,1,0.0248756218905473,0.0248756218905473,0,16,0
A05_Chr4:25.67-25.99Mb,6,1,1,0.0298507462686567,0.0302611521516994,0,50,0
A06_Chr4:27.55-27.55Mb,30,1,1,0.0248756218905473,0.0248756218905473,0,14.5,0
A07_Chr4:12.81-12.81Mb*Eda,12,1,1,0.0149253731343284,0.0248756218905473,0,23,0
A08_Chr5:2.48-2.50Mb,26,1,1,0.0149253731343284,0.0237083811710677,0,8.5,0
A09_Chr7:11.55-11.66Mb,16,1,1,0.00497512437810945,0.0220326936744847,1,16,0
A10_Chr12:15.55-15.55Mb,10,1,1,0.0199004975124378,0.0252309879175551,0,33,0
A11_Chr12:16.52-16.55Mb,13,1,1,0.0248756218905473,0.0261512948080112,0,19,0
A12_Chr17:6.55-6.77Mb,12,1,1,0.0199004975124378,0.0248756218905473,0,23,0
A13_Chr17:9.94-9.94Mb,13,1,1,0.0199004975124378,0.0248756218905473,0,19,0
A14_Chr18:5.61-5.61Mb,19,1,1,0.0199004975124378,0.0248756218905473,0,19,0
A15_Chr20:0.18-0.26Mb,21,1,1,0.00497512437810945,0.0199004975124378,1,9,0
A16_Chr20:3.67-3.67Mb,9,1,1,0.0248756218905473,0.0262576008844666,0,39,0
A17_Chr20:8.89-8.90Mb,9,1,1,0.0099502487562189,0.0236318407960199,0.444444444444444,27,0
