grid,support_gate,family,Chr,start,end,n_marker,mean_S,max_S,max_C,in_reference
full,0.02,1,1,19886540,19886568,2,0.0885714285714286,0.154285714285714,0.51,FALSE
full,0.02,2,1,27283118,27283137,3,0.0685714285714286,0.0914285714285714,0.1875,TRUE
full,0.02,3,1,21492518,21938087,684,0.087593984962406,0.765714285714286,0.765,TRUE
full,0.02,4,1,27010000,27010000,1,0.0228571428571429,0.0228571428571429,0.0825,FALSE
full,0.02,5,2,405533,418624,9,0.0234920634920635,0.0285714285714286,0.05,FALSE
full,0.02,6,2,2080537,2080537,1,0.0285714285714286,0.0285714285714286,0.0675,FALSE
full,0.02,7,2,22517762,22517762,1,0.04,0.04,0.1575,FALSE
full,0.02,8,3,6724418,6724447,6,0.0314285714285714,0.04,0.055,FALSE
full,0.02,9,3,6761918,6761918,1,0.131428571428571,0.131428571428571,0.4625,FALSE
full,0.02,10,3,13030593,13030596,4,0.0342857142857143,0.0342857142857143,0.055,TRUE
full,0.02,11,4,10110072,10110072,1,0.0228571428571429,0.0228571428571429,0.085,FALSE
full,0.02,12,4,22225245,22511008,5,0.102857142857143,0.148571428571429,0.185,TRUE
full,0.02,13,4,25672935,25987511,3,0.04,0.0514285714285714,0.1175,TRUE
full,0.02,14,4,27550438,27550786,8,0.132857142857143,0.297142857142857,0.4375,TRUE
full,0.02,15,4,31263186,31263186,1,0.0228571428571429,0.0228571428571429,0.0875,FALSE
full,0.02,16,4,12803744,12813503,22,0.0472727272727273,0.137142857142857,0.305,TRUE
full,0.02,17,5,2482352,2500921,37,0.117374517374517,0.342857142857143,0.3225,TRUE
full,0.02,18,7,1976297,1976297,1,0.0285714285714286,0.0285714285714286,0.0675,FALSE
full,0.02,19,7,10531524,10531568,5,0.0377142857142857,0.0457142857142857,0.0625,FALSE
full,0.02,20,7,11532035,11665215,20,0.100571428571429,0.388571428571429,0.745,TRUE
full,0.02,21,8,10329011,10329011,1,0.0228571428571429,0.0228571428571429,0.05,FALSE
full,0.02,22,8,10818479,10818479,1,0.04,0.04,0.15,FALSE
full,0.02,23,9,9436669,9436669,1,0.0457142857142857,0.0457142857142857,0.15,FALSE
full,0.02,24,9,16060806,16060807,2,0.0228571428571429,0.0228571428571429,0.05,FALSE
full,0.02,25,10,10602065,10602065,1,0.142857142857143,0.142857142857143,0.5175,FALSE
full,0.02,26,10,15421797,15421797,1,0.0457142857142857,0.0457142857142857,0.1475,FALSE
full,0.02,27,11,227324,227324,1,0.0228571428571429,0.0228571428571429,0.095,FALSE
full,0.02,28,11,2035584,2035584,1,0.0742857142857143,0.0742857142857143,0.27,FALSE
full,0.02,29,11,9001877,9081517,2,0.0285714285714286,0.0285714285714286,0.05,FALSE
full,0.02,30,11,11990229,11990229,1,0.0228571428571429,0.0228571428571429,0.04,FALSE
full,0.02,31,11,5735803,5735803,1,0.04,0.04,0.15,FALSE
full,0.02,32,11,15737727,15737727,1,0.102857142857143,0.102857142857143,0.365,FALSE
full,0.02,33,12,6452406,6452406,1,0.0228571428571429,0.0228571428571429,0.0575,FALSE
full,0.02,34,12,11752342,11752342,1,0.0342857142857143,0.0342857142857143,0.0925,FALSE
