chr,lo,hi,n_cells_sig,best_q,max_score,tau_range,lmin_max,stability,locus
1,1037163,27283137,134,0.0198019801980198,38.01,0.02-0.50,20,1,Chr1:1.04-27.28 (inversion)
20,180654,16108630,100,0.0148514851485149,6.92,0.02-0.50,20,0.746,Chr20:0.18-16.11
7,269088,27719164,68,0.0148514851485149,2.22,0.02-0.50,20,0.507,Chr7:0.27-27.72
5,1606193,6828644,60,0.0198019801980198,3.06,0.02-0.32,20,0.448,Chr5:1.61-6.83
17,6545185,11103109,60,0.0260143661424966,1.67,0.02-0.50,10,0.448,Chr17:6.55-11.10
4,4694963,31263186,55,0.0165016501650165,1.34,0.02-0.42,20,0.41,Chr4:4.69-31.26 (Eda)
16,710502,5341077,47,0.0165016501650165,1.29,0.02-0.50,2,0.351,Chr16:0.71-5.34
13,1224553,16916359,36,0.0260143661424966,0.72,0.02-0.36,3,0.269,Chr13:1.22-16.92
12,407442,16547310,34,0.0260143661424966,0.92,0.02-0.40,10,0.254,Chr12:0.41-16.55
3,96869,13030596,28,0.0165016501650165,0.46,0.02-0.46,5,0.209,Chr3:0.10-13.03
10,6355916,15421799,26,0.0165016501650165,0.52,0.02-0.50,2,0.194,Chr10:6.36-15.42
18,1237437,14818521,25,0.0260143661424966,0.59,0.02-0.24,5,0.187,Chr18:1.24-14.82
11,227324,15737727,21,0.0260143661424966,0.36,0.02-0.36,3,0.157,Chr11:0.23-15.74
14,5446401,14974076,19,0.0260143661424966,0.38,0.02-0.34,3,0.142,Chr14:5.45-14.97
15,1480585,14880220,12,0.0260143661424966,0.25,0.02-0.22,2,0.09,Chr15:1.48-14.88
9,300583,16060807,10,0.0260143661424966,0.17,0.02-0.14,3,0.075,Chr9:0.30-16.06
2,405533,22517762,10,0.0360836083608361,0.24,0.02-0.14,5,0.075,Chr2:0.41-22.52
8,1502041,10897695,9,0.0260143661424966,0.15,0.02-0.14,3,0.067,Chr8:1.50-10.90
21,7325969,7957421,7,0.0336633663366337,0.12,0.02-0.12,2,0.052,Chr21:7.33-7.96
6,4901212,4901212,1,0.0260143661424966,0.02,0.02-0.02,1,0.007,Chr6:4.90-4.90
