chr,locus,stability,n_cells_sig,max_size,max_maxC,max_score,best_q
1,Chr1:1.04-27.28,1,134,684,0.765,38.0125,0.0198019801980198
20,Chr20:0.18-16.11,0.746,100,106,0.5775,6.925,0.0148514851485149
7,Chr7:0.27-27.72,0.507,68,20,0.745,2.2225,0.0148514851485149
5,Chr5:1.61-6.83,0.448,60,37,0.3225,3.06,0.0198019801980198
17,Chr17:6.55-11.10,0.448,60,10,0.79,1.675,0.0260143661424966
4,Chr4:4.69-31.26,0.41,55,22,0.4375,1.3425,0.0165016501650165
16,Chr16:0.71-5.34,0.351,47,2,0.8325,1.29,0.0165016501650165
13,Chr13:1.22-16.92,0.269,36,4,0.37,0.72,0.0260143661424966
12,Chr12:0.41-16.55,0.254,34,11,0.4,0.9225,0.0260143661424966
3,Chr3:0.10-13.03,0.209,28,6,0.4625,0.4625,0.0165016501650165
10,Chr10:6.36-15.42,0.194,26,2,0.5175,0.5175,0.0165016501650165
18,Chr18:1.24-14.82,0.187,25,5,0.2525,0.5925,0.0260143661424966
11,Chr11:0.23-15.74,0.157,21,4,0.365,0.365,0.0260143661424966
14,Chr14:5.45-14.97,0.142,19,3,0.3525,0.38,0.0260143661424966
15,Chr15:1.48-14.88,0.09,12,2,0.2325,0.2525,0.0260143661424966
2,Chr2:0.41-22.52,0.075,10,9,0.1575,0.245,0.0360836083608361
9,Chr9:0.30-16.06,0.075,10,3,0.15,0.175,0.0260143661424966
8,Chr8:1.50-10.90,0.067,9,4,0.15,0.15,0.0260143661424966
21,Chr21:7.33-7.96,0.052,7,2,0.125,0.125,0.0336633663366337
6,Chr6:4.90-4.90,0.007,1,1,0.02,0.02,0.0260143661424966
