label,D_r,mean_S,max_S,frac_markers_supported,grid
A01_Chr1:27.28-27.28Mb,0.0628571428571429,0.0685714285714286,0.0914285714285714,1,full
A02_Chr1:21.50-21.93Mb*inv,0.12,0.169446064139942,0.765714285714286,1,full
A03_Chr3:13.03-13.03Mb,0.0342857142857143,0.0342857142857143,0.0342857142857143,1,full
A04_Chr4:22.51-22.51Mb,0.142857142857143,0.122857142857143,0.148571428571429,1,full
A05_Chr4:25.67-25.99Mb,0.0342857142857143,0.04,0.0514285714285714,1,full
A06_Chr4:27.55-27.55Mb,0.171428571428571,0.198857142857143,0.297142857142857,1,full
A07_Chr4:12.81-12.81Mb*Eda,0.0685714285714286,0.08,0.137142857142857,1,full
A08_Chr5:2.48-2.50Mb,0.148571428571429,0.168311688311688,0.342857142857143,1,full
A09_Chr7:11.55-11.66Mb,0.0914285714285714,0.161142857142857,0.388571428571429,1,full
A10_Chr12:15.55-15.55Mb,0.0571428571428571,0.0614285714285714,0.0742857142857143,1,full
A11_Chr12:16.52-16.55Mb,0.0742857142857143,0.107428571428571,0.194285714285714,1,full
A12_Chr17:6.55-6.77Mb,0.0685714285714286,0.169142857142857,0.32,1,full
A13_Chr17:9.94-9.94Mb,0.0742857142857143,0.118730158730159,0.268571428571429,1,full
A14_Chr18:5.61-5.61Mb,0.108571428571429,0.116190476190476,0.142857142857143,1,full
A15_Chr20:0.18-0.26Mb,0.12,0.196709956709957,0.571428571428571,1,full
A16_Chr20:3.67-3.67Mb,0.0514285714285714,0.0723809523809524,0.114285714285714,1,full
A17_Chr20:8.89-8.90Mb,0.0514285714285714,0.0533333333333333,0.0571428571428571,1,full
A01_Chr1:27.28-27.28Mb,0,0,0,0,P20
A02_Chr1:21.50-21.93Mb*inv,0.103448275862069,0.146622097114708,0.646551724137931,1,P20
A03_Chr3:13.03-13.03Mb,0,0,0,0,P20
A04_Chr4:22.51-22.51Mb,0.00862068965517241,0.00862068965517241,0.00862068965517241,1,P20
A05_Chr4:25.67-25.99Mb,0,0,0,0,P20
A06_Chr4:27.55-27.55Mb,0.0258620689655172,0.0258620689655172,0.0258620689655172,1,P20
A07_Chr4:12.81-12.81Mb*Eda,0.0344827586206897,0.0344827586206897,0.0344827586206897,1,P20
A08_Chr5:2.48-2.50Mb,0.120689655172414,0.120689655172414,0.163793103448276,1,P20
A09_Chr7:11.55-11.66Mb,0.0603448275862069,0.0672413793103448,0.0948275862068965,1,P20
A10_Chr12:15.55-15.55Mb,0.00862068965517241,0.00862068965517241,0.00862068965517241,1,P20
A11_Chr12:16.52-16.55Mb,0.0344827586206897,0.0344827586206897,0.0344827586206897,1,P20
A12_Chr17:6.55-6.77Mb,0.0258620689655172,0.0258620689655172,0.0258620689655172,1,P20
A13_Chr17:9.94-9.94Mb,0.0344827586206897,0.0344827586206897,0.0344827586206897,1,P20
A14_Chr18:5.61-5.61Mb,0.0172413793103448,0.0172413793103448,0.0172413793103448,1,P20
A15_Chr20:0.18-0.26Mb,0.103448275862069,0.146290491118077,0.353448275862069,1,P20
A16_Chr20:3.67-3.67Mb,0,0,0,0,P20
A17_Chr20:8.89-8.90Mb,0.0258620689655172,0.0258620689655172,0.0258620689655172,1,P20
A01_Chr1:27.28-27.28Mb,0,0,0,0,P10
A02_Chr1:21.50-21.93Mb*inv,0.104651162790698,0.142477456098719,0.523255813953488,1,P10
A03_Chr3:13.03-13.03Mb,0,0,0,0,P10
A04_Chr4:22.51-22.51Mb,0,0,0,0,P10
A05_Chr4:25.67-25.99Mb,0,0,0,0,P10
A06_Chr4:27.55-27.55Mb,0,0,0,0,P10
A07_Chr4:12.81-12.81Mb*Eda,0.0348837209302326,0.0348837209302326,0.0348837209302326,1,P10
A08_Chr5:2.48-2.50Mb,0.116279069767442,0.108879492600423,0.116279069767442,1,P10
A09_Chr7:11.55-11.66Mb,0.0465116279069768,0.0465116279069768,0.0465116279069768,1,P10
A10_Chr12:15.55-15.55Mb,0,0,0,0,P10
