tau,lmin,chr,lo,hi,score,q_R,cl
0.02,1,1,1037163,1037163,0.02,0.0498771681679446,1
0.02,1,1,19886540,19886568,0.5625,0.0421184975640421,2
0.02,2,1,19886540,19886568,0.5625,0.0416524411061796,2
0.04,1,1,19886540,19886568,0.5625,0.0411079082591804,2
0.04,2,1,19886540,19886568,0.5625,0.0427722772277228,2
0.06,1,1,19886540,19886540,0.51,0.0410984494675883,2
0.08,1,1,19886540,19886540,0.51,0.0405699106496015,2
0.1,1,1,19886540,19886540,0.51,0.040768782760629,2
0.12,1,1,19886540,19886540,0.51,0.0408040804080408,2
0.14,1,1,19886540,19886540,0.51,0.0409696142027996,2
0.16,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.18,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.2,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.22,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.24,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.26,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.28,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.3,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.32,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.34,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.36,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.38,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.4,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.42,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.44,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.46,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.48,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.5,1,1,19886540,19886540,0.51,0.0396039603960396,2
0.02,1,1,21491960,21491960,0.045,0.0421184975640421,3
0.04,1,1,21491960,21491960,0.045,0.0411079082591804,3
0.02,1,1,21492518,21938087,38.0125,0.0353795379537954,3
0.02,2,1,21492518,21938087,38.0125,0.0416524411061796,3
0.02,3,1,21492518,21938087,38.0125,0.0406461698801459,3
0.02,5,1,21492518,21938087,38.0125,0.0422442244224422,3
0.02,10,1,21492518,21938087,38.0125,0.0264026402640264,3
0.02,15,1,21492518,21938087,38.0125,0.0198019801980198,3
0.02,20,1,21492518,21938087,38.0125,0.0198019801980198,3
0.04,1,1,21496118,21928730,25.9325,0.0360836083608361,3
0.04,2,1,21496118,21928730,25.9325,0.0427722772277228,3
0.04,3,1,21496118,21928730,25.9325,0.0418041804180418,3
0.04,5,1,21496118,21928730,25.9325,0.0396039603960396,3
0.04,10,1,21496118,21928730,25.9325,0.0198019801980198,3
0.04,15,1,21496118,21928730,25.9325,0.0198019801980198,3
0.04,20,1,21496118,21928730,25.9325,0.0198019801980198,3
0.06,1,1,21496118,21928730,22.225,0.0410984494675883,3
0.06,2,1,21496118,21928730,22.225,0.0396039603960396,3
