id,Chr,lo,hi,score,size,maxC,overlap_freq,null_max_overlap,emp_p,emp_q,lo_Mb,hi_Mb
8,Chr5,2482545,2500921,2.585,22,0.3225,0,0,0.00497512437810945,0.00845771144278607,2.483,2.501
9,Chr7,11554890,11662441,1.94,10,0.745,0,0,0.00497512437810945,0.00845771144278607,11.555,11.662
13,Chr17,9943613,9943948,1.645,9,0.79,0,0,0.00497512437810945,0.00845771144278607,9.944,9.944
12,Chr17,6545200,6770606,1.395,5,0.685,0.015,0.5425,0.00497512437810945,0.00845771144278607,6.545,6.771
4,Chr4,22510976,22511008,0.58,4,0.185,0,0,0.00497512437810945,0.00845771144278607,22.511,22.511
16,Chr20,3669679,3669694,0.405,3,0.285,0,0,0.00497512437810945,0.00845771144278607,3.67,3.67
1,Chr1,27283118,27283137,0.355,3,0.1875,0,0,0.00497512437810945,0.00845771144278607,27.283,27.283
10,Chr12,15547672,15547687,0.34,4,0.1275,0,0,0.00497512437810945,0.00845771144278607,15.548,15.548
3,Chr3,13030593,13030596,0.21,4,0.055,0,0,0.00497512437810945,0.00845771144278607,13.031,13.031
17,Chr20,8893307,8895950,0.185,3,0.075,0,0,0.00497512437810945,0.00845771144278607,8.893,8.896
15,Chr20,181891,261002,4.755,33,0.5775,0.1,5.5975,0.0099502487562189,0.0140961857379768,0.182,0.261
14,Chr18,5613929,5613964,0.5025,3,0.2525,0.015,0.58,0.0099502487562189,0.0140961857379768,5.614,5.614
6,Chr4,27550523,27550786,1.26,5,0.4375,0.01,17.0675,0.0149253731343284,0.0195177956371986,27.551,27.551
5,Chr4,25672935,25987511,0.23,3,0.1175,0.035,1.34,0.0398009950248756,0.0483297796730632,25.673,25.988
11,Chr12,16522011,16546969,0.755,5,0.4,0.055,3.9375,0.0497512437810945,0.0563847429519071,16.522,16.547
2,Chr1,21496118,21928730,25.005,245,0.765,0.43,1443.56749999999,0.263681592039801,0.280161691542289,21.496,21.929
7,Chr4,12809075,12811617,0.4875,4,0.305,0.44,125.8275,0.442786069651741,0.442786069651741,12.809,12.812
