id,Chr,lo,hi,score,size,maxC,overlap_freq,null_max_overlap,emp_p,emp_q,lo_Mb,hi_Mb
8,Chr5,2482545,2500921,2.585,22,0.3225,0.005,0.3,0.00497512437810945,0.0181236673773987,2.483,2.501
9,Chr7,11554890,11662441,1.94,10,0.745,0,0,0.00497512437810945,0.0181236673773987,11.555,11.662
3,Chr3,13030593,13030596,0.21,4,0.055,0,0,0.00497512437810945,0.0181236673773987,13.031,13.031
14,Chr18,5613929,5613964,0.5025,3,0.2525,0.01,5.485,0.0099502487562189,0.0181236673773987,5.614,5.614
16,Chr20,3669679,3669694,0.405,3,0.285,0.005,4.7825,0.0099502487562189,0.0181236673773987,3.67,3.67
1,Chr1,27283118,27283137,0.355,3,0.1875,0.005,5.71,0.0099502487562189,0.0181236673773987,27.283,27.283
10,Chr12,15547672,15547687,0.34,4,0.1275,0.005,9.93,0.0099502487562189,0.0181236673773987,15.548,15.548
2,Chr1,21496118,21928730,25.005,245,0.765,0.04,58.835,0.0149253731343284,0.0181236673773987,21.496,21.929
15,Chr20,181891,261002,4.755,33,0.5775,0.03,14.8975,0.0149253731343284,0.0181236673773987,0.182,0.261
13,Chr17,9943613,9943948,1.645,9,0.79,0.015,11.1775,0.0149253731343284,0.0181236673773987,9.944,9.944
12,Chr17,6545200,6770606,1.395,5,0.685,0.015,9.7,0.0149253731343284,0.0181236673773987,6.545,6.771
6,Chr4,27550523,27550786,1.26,5,0.4375,0.015,5.375,0.0149253731343284,0.0181236673773987,27.551,27.551
11,Chr12,16522011,16546969,0.755,5,0.4,0.02,19.2275,0.0149253731343284,0.0181236673773987,16.522,16.547
17,Chr20,8893307,8895950,0.185,3,0.075,0.01,2.7125,0.0149253731343284,0.0181236673773987,8.893,8.896
4,Chr4,22510976,22511008,0.58,4,0.185,0.015,16.725,0.0199004975124378,0.0225538971807629,22.511,22.511
5,Chr4,25672935,25987511,0.23,3,0.1175,0.02,11.1125,0.0248756218905473,0.0264303482587065,25.673,25.988
7,Chr4,12809075,12811617,0.4875,4,0.305,0.04,68.7625,0.0447761194029851,0.0447761194029851,12.809,12.812
