file,Chr,w,a,c,contrast,regime,cMMb,span
1,Chr1,1,1.93387739234716e-05,0.907343284705732,0.87790097072569,structured,5.5043197467772,2988925.2
1,Chr1,2,1.11040469748911e-06,0.997127010032147,0.967684696052105,structured,4.36107187372366,2988925.2
1,Chr1,3,7.40738395490561e-07,1,0.970557686019957,structured,2.05194570897403,2988925.2
1,Chr1,4,8.34188954145498e-06,0.910372458113516,0.880930144133474,structured,2.34777570689031,2988925.2
1,Chr1,5,8.4509691948686e-06,0.948591930385638,0.919149616405596,structured,2.02784276776287,2988925.2
1,Chr1,6,4.4554186674893e-06,0.995029428103235,0.965587114123193,structured,0.695868768002964,2988925.2
1,Chr1,7,5.08444973250478e-06,1,0.970557686019957,structured,0.679006620841501,2988925.2
1,Chr1,8,1.2512575223094e-05,0.992922915554131,0.963480601574089,structured,0.900781870857072,2988925.2
1,Chr1,9,1.10770099052305e-05,0.973545504517014,0.944103190536971,structured,1.66026012898069,2988925.2
1,Chr1,10,2.56064600076023e-05,0.949794883256592,0.92035256927655,structured,2.54934377082715,2988925.2
1,Chr1,11,2.32158012207921e-05,1,0.970557686019957,structured,2.54329464737111,2988925.2
1,Chr1,12,2.6483221901731e-05,1,0.970557686019957,structured,2.69727692409029,2988925.2
1,Chr1,13,6.24431880790329e-05,0.980472315932249,0.951030001952206,structured,3.60815527790273,2988925.2
1,Chr1,14,5.71613157991546e-05,0.973174245214741,0.943731931234699,structured,4.4996998601575,2988925.2
1,Chr1,15,0.000103657200891118,1,0.970557686019957,structured,5.27641386720755,2988925.2
1,Chr1,16,6.8009640074848e-05,0.967397270982492,0.93795495700245,structured,4.78595661457945,2988925.2
1,Chr1,17,9.66263934355247e-05,0.806028687472812,0.776586373492769,structured,7.68397572366307,2988925.2
1,Chr1,18,8.83115490799229e-05,0.96199207505272,0.932549761072677,structured,10.024341505091,2988925.2
1,Chr2,1,9.23588606905919e-05,0.999999999999978,0.970557686019935,structured,5.59658511283053,2989169.3
1,Chr2,2,1.55703723213589e-06,0.963957062533549,0.934514748553506,structured,4.3550561916147,2989169.3
1,Chr2,3,4.795343036395e-07,1,0.970557686019957,structured,1.95439302146194,2989169.3
1,Chr2,4,3.97657201074627e-06,1,0.970557686019957,structured,2.35288791813724,2989169.3
1,Chr2,5,6.55392282213637e-06,1,0.970557686019957,structured,2.02635387876265,2989169.3
1,Chr2,6,8.58223782722823e-06,0.999999999999965,0.970557686019923,structured,0.683356522009868,2989169.3
1,Chr2,7,7.57589295670331e-06,0.962693110308036,0.933250796327993,structured,0.672643425462643,2989169.3
1,Chr2,8,1.25067307564569e-05,0.958470959658641,0.929028645678599,structured,1.0188449346111,2989169.3
1,Chr2,9,1.22438906956234e-05,0.968586387021608,0.939144073041565,structured,1.66790895437815,2989169.3
1,Chr2,10,3.06847857953845e-05,0.950951434699686,0.921509120719644,structured,2.5515311131078,2989169.3
1,Chr2,11,3.44035027689198e-05,1,0.970557686019957,structured,2.5525112428776,2989169.3
1,Chr2,12,3.1691546948001e-05,1,0.970557686019957,structured,2.75682275292925,2989169.3
1,Chr2,13,6.06941504365274e-05,0.997832591524986,0.968390277544943,structured,3.6172928693364,2989169.3
1,Chr2,14,8.92477044097341e-05,1,0.970557686019957,structured,4.45633669057111,2989169.3
1,Chr2,15,8.52316552429566e-05,0.926076368174202,0.896634054194159,structured,5.26197115457776,2989169.3
