method,region,Chr,start,end,n_snp,span
EMMAX,1,Chr1,21496118,21928730,245,432612
EMMAX,2,Chr5,2482545,2500921,22,18376
EMMAX,3,Chr7,11554890,11662441,10,107551
EMMAX,4,Chr20,181891,261002,33,79111
LFMM,1,Chr1,12334577,12438529,11,103952
LFMM,2,Chr1,26932748,27292439,18,359691
LFMM,3,Chr1,21499390,21928710,129,429320
LFMM,4,Chr2,9425758,9559052,12,133294
LFMM,5,Chr2,22517143,22881514,15,364371
LFMM,6,Chr3,3763429,4541884,10,778455
LFMM,7,Chr3,6722692,6724735,13,2043
LFMM,8,Chr4,9429499,10504254,23,1074755
LFMM,9,Chr4,11101860,12283722,16,1181862
LFMM,10,Chr4,14033947,14562585,17,528638
LFMM,11,Chr4,20891277,23367879,48,2476602
LFMM,12,Chr4,25233459,25987511,13,754052
LFMM,13,Chr4,26490824,27550786,26,1059962
LFMM,14,Chr5,1546722,1606316,15,59594
LFMM,15,Chr5,2482352,2500913,19,18561
LFMM,16,Chr6,1404905,1405132,10,227
LFMM,17,Chr7,57423,796058,15,738635
LFMM,18,Chr7,10531524,10912478,16,380954
LFMM,19,Chr8,114069,453601,12,339532
LFMM,20,Chr8,1445971,1512168,14,66197
LFMM,21,Chr8,10326828,10338470,18,11642
LFMM,22,Chr10,6239935,6700294,10,460359
LFMM,23,Chr11,376,1194555,23,1194179
LFMM,24,Chr11,6108931,6814754,17,705823
LFMM,25,Chr11,11990208,12258380,22,268172
LFMM,26,Chr12,2478477,3123781,18,645304
LFMM,27,Chr12,11748742,12148736,11,399994
LFMM,28,Chr12,15547672,15547738,12,66
LFMM,29,Chr12,16469054,18242526,25,1773472
LFMM,30,Chr14,10998500,11803366,12,804866
LFMM,31,Chr14,14938596,15228851,14,290255
LFMM,32,Chr16,4227239,5237830,13,1010591
LFMM,33,Chr16,11542810,11853909,15,311099
LFMM,34,Chr16,16478564,17177070,10,698506
LFMM,35,Chr17,6450560,6770606,13,320046
LFMM,36,Chr17,9943587,10055412,13,111825
LFMM,37,Chr18,798426,1885998,15,1087572
LFMM,38,Chr18,5613779,5613988,10,209
LFMM,39,Chr20,180654,214205,24,33551
LFMM,40,Chr20,2207553,2359411,17,151858
