id,Chr,lo,hi,score,size,maxC,overlap_freq,null_max_overlap,emp_p,emp_q,lo_Mb,hi_Mb
9,Chr7,11554890,11662441,1.94,10,0.745,0.025,12.1675,0.0298507462686567,0.380597014925373,11.555,11.662
17,Chr20,8893307,8895950,0.185,3,0.075,0.08,200.29,0.0845771144278607,0.380597014925373,8.893,8.896
12,Chr17,6545200,6770606,1.395,5,0.685,0.135,49.15,0.109452736318408,0.380597014925373,6.545,6.771
14,Chr18,5613929,5613964,0.5025,3,0.2525,0.15,122.075,0.154228855721393,0.380597014925373,5.614,5.614
6,Chr4,27550523,27550786,1.26,5,0.4375,0.195,269.295,0.17910447761194,0.380597014925373,27.551,27.551
13,Chr17,9943613,9943948,1.645,9,0.79,0.235,108.845,0.194029850746269,0.380597014925373,9.944,9.944
5,Chr4,25672935,25987511,0.23,3,0.1175,0.2,269.295,0.203980099502488,0.380597014925373,25.673,25.988
8,Chr5,2482545,2500921,2.585,22,0.3225,0.28,75.1575,0.208955223880597,0.380597014925373,2.483,2.501
4,Chr4,22510976,22511008,0.58,4,0.185,0.21,269.295,0.208955223880597,0.380597014925373,22.511,22.511
2,Chr1,21496118,21928730,25.005,245,0.765,0.595,497.707500000001,0.243781094527363,0.380597014925373,21.496,21.929
3,Chr3,13030593,13030596,0.21,4,0.055,0.25,98.3325,0.253731343283582,0.380597014925373,13.031,13.031
10,Chr12,15547672,15547687,0.34,4,0.1275,0.265,138.5375,0.26865671641791,0.380597014925373,15.548,15.548
1,Chr1,27283118,27283137,0.355,3,0.1875,0.305,497.707500000001,0.303482587064677,0.396861844623039,27.283,27.283
7,Chr4,12809075,12811617,0.4875,4,0.305,0.335,332.475,0.333333333333333,0.404761904761905,12.809,12.812
16,Chr20,3669679,3669694,0.405,3,0.285,0.37,200.29,0.373134328358209,0.422885572139304,3.67,3.67
11,Chr12,16522011,16546969,0.755,5,0.4,0.485,138.5375,0.482587064676617,0.512437810945274,16.522,16.547
15,Chr20,181891,261002,4.755,33,0.5775,0.6,200.29,0.512437810945274,0.512437810945274,0.182,0.261
