region_uid	tag	cell	rep	env	method	size_floor	region_id	Chr	from	to	n_markers	n_units	TP	member_markers	member_units	linked_qtn
bgs_V0.5_c1_rep1_env1_emmax_snp_region_r1	bgs	V0.5_c1	1	1	emmax_snp_region	2	1	Chr1	26526895	26862213	33	5	TRUE	Chr1:26526895;Chr1:26537356;Chr1:26541076;Chr1:26542521;Chr1:26545196;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26600049;Chr1:26602959;Chr1:26605969;Chr1:26614541;Chr1:26639190;Chr1:26640589;Chr1:26647844;Chr1:26654247;Chr1:26654310;Chr1:26659062;Chr1:26667597;Chr1:26681841;Chr1:26686168;Chr1:26703681;Chr1:26709662;Chr1:26716516;Chr1:26730811;Chr1:26764646;Chr1:26806861;Chr1:26815401;Chr1:26817291;Chr1:26828105;Chr1:26856491;Chr1:26862213	Chr1:26542521;Chr1:26605969;Chr1:26639190;Chr1:26681841;Chr1:26856491	Chr1:26716516
bgs_V0.5_c1_rep1_env1_emmax_simes_region_r1	bgs	V0.5_c1	1	1	emmax_simes_region	2	1	Chr1	26526895	26764646	27	4	TRUE	Chr1:26526895;Chr1:26537356;Chr1:26541076;Chr1:26542521;Chr1:26545196;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26600049;Chr1:26602959;Chr1:26605969;Chr1:26614541;Chr1:26639190;Chr1:26640589;Chr1:26647844;Chr1:26654247;Chr1:26654310;Chr1:26659062;Chr1:26667597;Chr1:26681841;Chr1:26686168;Chr1:26703681;Chr1:26709662;Chr1:26716516;Chr1:26730811;Chr1:26764646	Chr1:26542521;Chr1:26605969;Chr1:26639190;Chr1:26681841	Chr1:26716516
bgs_V0.5_c1_rep1_env1_emmax_consensus_region_r1	bgs	V0.5_c1	1	1	emmax_consensus_region	2	1	Chr1	26526895	26764646	27	4	TRUE	Chr1:26526895;Chr1:26537356;Chr1:26541076;Chr1:26542521;Chr1:26545196;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26600049;Chr1:26602959;Chr1:26605969;Chr1:26614541;Chr1:26639190;Chr1:26640589;Chr1:26647844;Chr1:26654247;Chr1:26654310;Chr1:26659062;Chr1:26667597;Chr1:26681841;Chr1:26686168;Chr1:26703681;Chr1:26709662;Chr1:26716516;Chr1:26730811;Chr1:26764646	Chr1:26542521;Chr1:26605969;Chr1:26639190;Chr1:26681841	Chr1:26716516
bgs_V0.5_c1_rep1_env1_lfmm_snp_region_r1	bgs	V0.5_c1	1	1	lfmm_snp_region	2	1	Chr1	25998012	26017168	5	1	FALSE	Chr1:25998012;Chr1:26000595;Chr1:26003764;Chr1:26012754;Chr1:26017168	Chr1:26000595	""
bgs_V0.5_c1_rep1_env1_lfmm_snp_region_r2	bgs	V0.5_c1	1	1	lfmm_snp_region	2	2	Chr1	26526895	26862213	33	5	TRUE	Chr1:26526895;Chr1:26537356;Chr1:26541076;Chr1:26542521;Chr1:26545196;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26600049;Chr1:26602959;Chr1:26605969;Chr1:26614541;Chr1:26639190;Chr1:26640589;Chr1:26647844;Chr1:26654247;Chr1:26654310;Chr1:26659062;Chr1:26667597;Chr1:26681841;Chr1:26686168;Chr1:26703681;Chr1:26709662;Chr1:26716516;Chr1:26730811;Chr1:26764646;Chr1:26806861;Chr1:26815401;Chr1:26817291;Chr1:26828105;Chr1:26856491;Chr1:26862213	Chr1:26542521;Chr1:26605969;Chr1:26639190;Chr1:26681841;Chr1:26856491	Chr1:26716516
bgs_V0.5_c1_rep1_env1_lfmm_simes_region_r1	bgs	V0.5_c1	1	1	lfmm_simes_region	2	1	Chr1	26526895	26862213	33	5	TRUE	Chr1:26526895;Chr1:26537356;Chr1:26541076;Chr1:26542521;Chr1:26545196;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26600049;Chr1:26602959;Chr1:26605969;Chr1:26614541;Chr1:26639190;Chr1:26640589;Chr1:26647844;Chr1:26654247;Chr1:26654310;Chr1:26659062;Chr1:26667597;Chr1:26681841;Chr1:26686168;Chr1:26703681;Chr1:26709662;Chr1:26716516;Chr1:26730811;Chr1:26764646;Chr1:26806861;Chr1:26815401;Chr1:26817291;Chr1:26828105;Chr1:26856491;Chr1:26862213	Chr1:26542521;Chr1:26605969;Chr1:26639190;Chr1:26681841;Chr1:26856491	Chr1:26716516
bgs_V0.5_c1_rep1_env2_emmax_snp_region_r1	bgs	V0.5_c1	1	2	emmax_snp_region	2	1	Chr1	20929441	20954739	10	2	TRUE	Chr1:20929441;Chr1:20930165;Chr1:20931546;Chr1:20933489;Chr1:20936371;Chr1:20938334;Chr1:20939512;Chr1:20941670;Chr1:20947911;Chr1:20954739	Chr1:20933489;Chr1:20947911	Chr1:20936371
bgs_V0.5_c1_rep1_env2_emmax_snp_region_r2	bgs	V0.5_c1	1	2	emmax_snp_region	2	2	Chr2	6202229	6202229	1	1	FALSE	Chr2:6202229	Chr2:6202229	""
bgs_V0.5_c1_rep1_env2_emmax_snp_region_r3	bgs	V0.5_c1	1	2	emmax_snp_region	2	3	Chr2	6905411	6988712	5	1	FALSE	Chr2:6905411;Chr2:6946856;Chr2:6961331;Chr2:6973872;Chr2:6988712	Chr2:6973872	""
bgs_V0.5_c1_rep1_env2_emmax_simes_region_r1	bgs	V0.5_c1	1	2	emmax_simes_region	2	1	Chr1	20929441	20954739	10	2	TRUE	Chr1:20929441;Chr1:20930165;Chr1:20931546;Chr1:20933489;Chr1:20936371;Chr1:20938334;Chr1:20939512;Chr1:20941670;Chr1:20947911;Chr1:20954739	Chr1:20933489;Chr1:20947911	Chr1:20936371
bgs_V0.5_c1_rep1_env2_emmax_simes_region_r2	bgs	V0.5_c1	1	2	emmax_simes_region	2	2	Chr2	6905411	6988712	5	1	FALSE	Chr2:6905411;Chr2:6946856;Chr2:6961331;Chr2:6973872;Chr2:6988712	Chr2:6973872	""
bgs_V0.5_c1_rep1_env2_emmax_consensus_region_r1	bgs	V0.5_c1	1	2	emmax_consensus_region	2	1	Chr1	20929441	20954739	10	2	TRUE	Chr1:20929441;Chr1:20930165;Chr1:20931546;Chr1:20933489;Chr1:20936371;Chr1:20938334;Chr1:20939512;Chr1:20941670;Chr1:20947911;Chr1:20954739	Chr1:20933489;Chr1:20947911	Chr1:20936371
bgs_V0.5_c1_rep1_env2_emmax_consensus_region_r2	bgs	V0.5_c1	1	2	emmax_consensus_region	2	2	Chr2	6905411	6988712	5	1	FALSE	Chr2:6905411;Chr2:6946856;Chr2:6961331;Chr2:6973872;Chr2:6988712	Chr2:6973872	""
bgs_V0.5_c1_rep1_env2_lfmm_snp_region_r1	bgs	V0.5_c1	1	2	lfmm_snp_region	2	1	Chr1	3450041	3450041	1	1	FALSE	Chr1:3450041	Chr1:3450041	""
bgs_V0.5_c1_rep1_env2_lfmm_snp_region_r2	bgs	V0.5_c1	1	2	lfmm_snp_region	2	2	Chr1	20929441	20954739	10	2	TRUE	Chr1:20929441;Chr1:20930165;Chr1:20931546;Chr1:20933489;Chr1:20936371;Chr1:20938334;Chr1:20939512;Chr1:20941670;Chr1:20947911;Chr1:20954739	Chr1:20933489;Chr1:20947911	Chr1:20936371
bgs_V0.5_c1_rep1_env2_lfmm_snp_region_r3	bgs	V0.5_c1	1	2	lfmm_snp_region	2	3	Chr1	26259979	26259979	1	1	FALSE	Chr1:26259979	Chr1:26259979	""
bgs_V0.5_c1_rep1_env2_lfmm_snp_region_r4	bgs	V0.5_c1	1	2	lfmm_snp_region	2	4	Chr2	6905411	6988712	5	1	FALSE	Chr2:6905411;Chr2:6946856;Chr2:6961331;Chr2:6973872;Chr2:6988712	Chr2:6973872	""
bgs_V0.5_c1_rep1_env2_lfmm_simes_region_r1	bgs	V0.5_c1	1	2	lfmm_simes_region	2	1	Chr1	20929441	20954739	10	2	TRUE	Chr1:20929441;Chr1:20930165;Chr1:20931546;Chr1:20933489;Chr1:20936371;Chr1:20938334;Chr1:20939512;Chr1:20941670;Chr1:20947911;Chr1:20954739	Chr1:20933489;Chr1:20947911	Chr1:20936371
bgs_V0.5_c1_rep1_env2_lfmm_simes_region_r2	bgs	V0.5_c1	1	2	lfmm_simes_region	2	2	Chr2	6905411	6988712	5	1	FALSE	Chr2:6905411;Chr2:6946856;Chr2:6961331;Chr2:6973872;Chr2:6988712	Chr2:6973872	""
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r1	bgs	V0.5_c1	1	3	emmax_snp_region	2	1	Chr1	17639585	17672995	5	1	FALSE	Chr1:17639585;Chr1:17649570;Chr1:17649989;Chr1:17655728;Chr1:17672995	Chr1:17649570	""
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r2	bgs	V0.5_c1	1	3	emmax_snp_region	2	2	Chr1	19813453	19869814	5	1	FALSE	Chr1:19813453;Chr1:19823026;Chr1:19828938;Chr1:19852245;Chr1:19869814	Chr1:19828938	""
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r3	bgs	V0.5_c1	1	3	emmax_snp_region	2	3	Chr1	26389239	26399255	3	1	FALSE	Chr1:26389239;Chr1:26392447;Chr1:26399255	Chr1:26392447	""
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r4	bgs	V0.5_c1	1	3	emmax_snp_region	2	4	Chr1	26407742	26407742	1	1	FALSE	Chr1:26407742	Chr1:26407742	""
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r6	bgs	V0.5_c1	1	3	emmax_snp_region	2	6	Chr1	26421695	26796284	32	4	TRUE	Chr1:26421695;Chr1:26422183;Chr1:26437845;Chr1:26438835;Chr1:26466989;Chr1:26470120;Chr1:26481782;Chr1:26495046;Chr1:26533678;Chr1:26534118;Chr1:26545196;Chr1:26549085;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26716516;Chr1:26759334;Chr1:26761451;Chr1:26767087;Chr1:26539376;Chr1:26566820;Chr1:26659183;Chr1:26685756;Chr1:26702077;Chr1:26724845;Chr1:26772424;Chr1:26777038;Chr1:26790401;Chr1:26794164;Chr1:26795005;Chr1:26796284	Chr1:26716516;Chr1:26539376;Chr1:26685756;Chr1:26790401	Chr1:26716516
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r5	bgs	V0.5_c1	1	3	emmax_snp_region	2	5	Chr1	26630831	26662830	5	1	TRUE	Chr1:26630831;Chr1:26632279;Chr1:26643079;Chr1:26657369;Chr1:26662830	Chr1:26662830	Chr1:26716516
bgs_V0.5_c1_rep1_env3_emmax_snp_region_r7	bgs	V0.5_c1	1	3	emmax_snp_region	2	7	Chr2	28106312	28120466	4	2	FALSE	Chr2:28106312;Chr2:28116171;Chr2:28115316;Chr2:28120466	Chr2:28106312;Chr2:28115316	""
bgs_V0.5_c1_rep1_env3_emmax_simes_region_r1	bgs	V0.5_c1	1	3	emmax_simes_region	2	1	Chr1	17639585	17672995	5	1	FALSE	Chr1:17639585;Chr1:17649570;Chr1:17649989;Chr1:17655728;Chr1:17672995	Chr1:17649570	""
bgs_V0.5_c1_rep1_env3_emmax_simes_region_r4	bgs	V0.5_c1	1	3	emmax_simes_region	2	4	Chr1	26389239	26399255	3	1	FALSE	Chr1:26389239;Chr1:26392447;Chr1:26399255	Chr1:26392447	""
bgs_V0.5_c1_rep1_env3_emmax_simes_region_r3	bgs	V0.5_c1	1	3	emmax_simes_region	2	3	Chr1	26421695	26796284	32	4	TRUE	Chr1:26421695;Chr1:26422183;Chr1:26437845;Chr1:26438835;Chr1:26466989;Chr1:26470120;Chr1:26481782;Chr1:26495046;Chr1:26533678;Chr1:26534118;Chr1:26545196;Chr1:26549085;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26716516;Chr1:26759334;Chr1:26761451;Chr1:26767087;Chr1:26539376;Chr1:26566820;Chr1:26659183;Chr1:26685756;Chr1:26702077;Chr1:26724845;Chr1:26772424;Chr1:26777038;Chr1:26790401;Chr1:26794164;Chr1:26795005;Chr1:26796284	Chr1:26716516;Chr1:26539376;Chr1:26685756;Chr1:26790401	Chr1:26716516
bgs_V0.5_c1_rep1_env3_emmax_simes_region_r2	bgs	V0.5_c1	1	3	emmax_simes_region	2	2	Chr1	26630831	26662830	5	1	TRUE	Chr1:26630831;Chr1:26632279;Chr1:26643079;Chr1:26657369;Chr1:26662830	Chr1:26662830	Chr1:26716516
bgs_V0.5_c1_rep1_env3_emmax_simes_region_r5	bgs	V0.5_c1	1	3	emmax_simes_region	2	5	Chr2	28106312	28120466	4	2	FALSE	Chr2:28106312;Chr2:28116171;Chr2:28115316;Chr2:28120466	Chr2:28106312;Chr2:28115316	""
bgs_V0.5_c1_rep1_env3_emmax_consensus_region_r1	bgs	V0.5_c1	1	3	emmax_consensus_region	2	1	Chr1	17639585	17672995	5	1	FALSE	Chr1:17639585;Chr1:17649570;Chr1:17649989;Chr1:17655728;Chr1:17672995	Chr1:17649570	""
bgs_V0.5_c1_rep1_env3_emmax_consensus_region_r2	bgs	V0.5_c1	1	3	emmax_consensus_region	2	2	Chr1	19813453	19869814	5	1	FALSE	Chr1:19813453;Chr1:19823026;Chr1:19828938;Chr1:19852245;Chr1:19869814	Chr1:19828938	""
bgs_V0.5_c1_rep1_env3_emmax_consensus_region_r3	bgs	V0.5_c1	1	3	emmax_consensus_region	2	3	Chr1	26421695	26767087	26	3	TRUE	Chr1:26421695;Chr1:26422183;Chr1:26437845;Chr1:26438835;Chr1:26466989;Chr1:26470120;Chr1:26481782;Chr1:26495046;Chr1:26533678;Chr1:26534118;Chr1:26545196;Chr1:26549085;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26716516;Chr1:26759334;Chr1:26761451;Chr1:26767087;Chr1:26539376;Chr1:26566820;Chr1:26659183;Chr1:26685756;Chr1:26702077;Chr1:26724845	Chr1:26716516;Chr1:26539376;Chr1:26685756	Chr1:26716516
bgs_V0.5_c1_rep1_env3_emmax_consensus_region_r4	bgs	V0.5_c1	1	3	emmax_consensus_region	2	4	Chr2	28106312	28116171	2	1	FALSE	Chr2:28106312;Chr2:28116171	Chr2:28106312	""
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r1	bgs	V0.5_c1	1	3	lfmm_snp_region	2	1	Chr1	13353391	13410103	5	1	FALSE	Chr1:13353391;Chr1:13375716;Chr1:13386353;Chr1:13390045;Chr1:13410103	Chr1:13353391	""
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r2	bgs	V0.5_c1	1	3	lfmm_snp_region	2	2	Chr1	17639585	17672995	5	1	FALSE	Chr1:17639585;Chr1:17649570;Chr1:17649989;Chr1:17655728;Chr1:17672995	Chr1:17649570	""
