label,tau,lmin,detected,n_match,match_score,size,score,maxC,emp_p,q_R,sig,n_tested
A01_Chr1:27.28-27.28Mb,0.02,1,TRUE,1,1,3,0.355,0.1875,0.0199004975124378,0.0246913580246914,TRUE,134
A02_Chr1:21.50-21.93Mb*inv,0.02,1,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0235294117647059,TRUE,134
A03_Chr3:13.03-13.03Mb,0.02,1,TRUE,1,1,4,0.21,0.055,0.00497512437810945,0.016260162601626,TRUE,134
A04_Chr4:22.51-22.51Mb,0.02,1,TRUE,1,1,5,0.61,0.185,0.0298507462686567,0.0303030303030303,TRUE,134
A05_Chr4:25.67-25.99Mb,0.02,1,TRUE,1,1,3,0.23,0.1175,0.0298507462686567,0.0303030303030303,TRUE,134
A06_Chr4:27.55-27.55Mb,0.02,1,TRUE,1,1,8,1.3425,0.4375,0.0248756218905473,0.0273224043715847,TRUE,134
A07_Chr4:12.81-12.81Mb*Eda,0.02,1,TRUE,1,1,22,0.985,0.305,0.0149253731343284,0.0235294117647059,TRUE,134
A08_Chr5:2.48-2.50Mb,0.02,1,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0235294117647059,TRUE,134
A09_Chr7:11.55-11.66Mb,0.02,1,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.016260162601626,TRUE,134
A10_Chr12:15.55-15.55Mb,0.02,1,TRUE,1,1,6,0.395,0.1275,0.0199004975124378,0.0246913580246914,TRUE,134
A11_Chr12:16.52-16.55Mb,0.02,1,TRUE,1,1,11,0.9225,0.4,0.0248756218905473,0.0273224043715847,TRUE,134
A12_Chr17:6.55-6.77Mb,0.02,1,TRUE,1,1,6,1.42,0.685,0.0199004975124378,0.0246913580246914,TRUE,134
A13_Chr17:9.94-9.94Mb,0.02,1,TRUE,1,1,10,1.675,0.79,0.0199004975124378,0.0246913580246914,TRUE,134
A14_Chr18:5.61-5.61Mb,0.02,1,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0246913580246914,TRUE,134
A15_Chr20:0.18-0.26Mb,0.02,1,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.016260162601626,TRUE,134
A16_Chr20:3.67-3.67Mb,0.02,1,TRUE,1,1,4,0.45,0.285,0.0248756218905473,0.0273224043715847,TRUE,134
A17_Chr20:8.89-8.90Mb,0.02,1,TRUE,1,1,16,0.5525,0.075,0.0099502487562189,0.0196078431372549,TRUE,134
A01_Chr1:27.28-27.28Mb,0.02,2,TRUE,1,1,3,0.355,0.1875,0.0199004975124378,0.0269762299613046,TRUE,61
A02_Chr1:21.50-21.93Mb*inv,0.02,2,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0269762299613046,TRUE,61
A03_Chr3:13.03-13.03Mb,0.02,2,TRUE,1,1,4,0.21,0.055,0.00497512437810945,0.0216773276474769,TRUE,61
A04_Chr4:22.51-22.51Mb,0.02,2,TRUE,1,1,5,0.61,0.185,0.0298507462686567,0.030862635972679,TRUE,61
A05_Chr4:25.67-25.99Mb,0.02,2,TRUE,1,1,3,0.23,0.1175,0.0298507462686567,0.030862635972679,TRUE,61
A06_Chr4:27.55-27.55Mb,0.02,2,TRUE,1,1,8,1.3425,0.4375,0.0248756218905473,0.0275893260967888,TRUE,61
A07_Chr4:12.81-12.81Mb*Eda,0.02,2,TRUE,1,1,22,0.985,0.305,0.0149253731343284,0.0269762299613046,TRUE,61
A08_Chr5:2.48-2.50Mb,0.02,2,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0269762299613046,TRUE,61
A09_Chr7:11.55-11.66Mb,0.02,2,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.0216773276474769,TRUE,61
A10_Chr12:15.55-15.55Mb,0.02,2,TRUE,1,1,6,0.395,0.1275,0.0199004975124378,0.0269762299613046,TRUE,61
A11_Chr12:16.52-16.55Mb,0.02,2,TRUE,1,1,11,0.9225,0.4,0.0248756218905473,0.0275893260967888,TRUE,61
A12_Chr17:6.55-6.77Mb,0.02,2,TRUE,1,1,6,1.42,0.685,0.0199004975124378,0.0269762299613046,TRUE,61
