method,region,Chr,start,end,n_snp,span,chr_num
LFMM,1,Chr1,1904895,2511356,6,606461,1
LFMM,2,Chr1,6297332,6302385,3,5053,1
LFMM,3,Chr1,8871040,9993317,5,1122277,1
LFMM,4,Chr1,12334577,12438529,11,103952,1
LFMM,5,Chr1,15327208,15612105,4,284897,1
LFMM,6,Chr1,17969169,18290612,3,321443,1
LFMM,7,Chr1,19281745,19374576,9,92831,1
LFMM,8,Chr1,19886251,19891415,5,5164,1
LFMM,9,Chr1,21065595,21519615,4,454020,1
LFMM,10,Chr1,22152196,22451164,3,298968,1
LFMM,11,Chr1,25068370,25593910,7,525540,1
LFMM,12,Chr1,26932748,27292439,18,359691,1
LFMM,13,Chr1,21499390,21928710,129,429320,1
LFMM,14,Chr2,21043,21054,3,11,2
LFMM,15,Chr2,665894,1516636,5,850742,2
LFMM,16,Chr2,2080525,2466512,7,385987,2
LFMM,17,Chr2,7549921,7550159,8,238,2
LFMM,18,Chr2,9425758,9559052,12,133294,2
LFMM,19,Chr2,13564267,13564297,7,30,2
LFMM,20,Chr2,22517143,22881514,15,364371,2
LFMM,21,Chr2,1731185,1731666,3,481,2
LFMM,22,Chr3,3763429,4541884,10,778455,3
LFMM,23,Chr3,5066800,5066849,8,49,3
LFMM,24,Chr3,5980233,5980522,7,289,3
LFMM,25,Chr3,6722692,6724735,13,2043,3
LFMM,26,Chr3,9401794,9406867,7,5073,3
LFMM,27,Chr3,489240,489246,3,6,3
LFMM,28,Chr3,13030593,13030596,4,3,3
LFMM,29,Chr4,2092724,2092739,4,15,4
LFMM,30,Chr4,8753994,8797525,9,43531,4
LFMM,31,Chr4,9429499,10504254,23,1074755,4
LFMM,32,Chr4,11101860,12283722,16,1181862,4
LFMM,33,Chr4,14033947,14562585,17,528638,4
LFMM,34,Chr4,15285431,15285527,5,96,4
LFMM,35,Chr4,20891277,23367879,48,2476602,4
LFMM,36,Chr4,24717532,24717573,3,41,4
LFMM,37,Chr4,25233459,25987511,13,754052,4
LFMM,38,Chr4,26490824,27550786,26,1059962,4
LFMM,39,Chr4,12114328,12132963,3,18635,4
LFMM,40,Chr4,25675660,25675666,3,6,4
LFMM,41,Chr5,1546722,1606316,15,59594,5
LFMM,42,Chr5,2821231,3113639,3,292408,5
LFMM,43,Chr5,10523750,10523775,3,25,5
LFMM,44,Chr5,2482352,2500913,19,18561,5
LFMM,45,Chr6,347891,764426,3,416535,6
LFMM,46,Chr6,1404905,1405132,10,227,6
LFMM,47,Chr6,2132780,2591928,6,459148,6
LFMM,48,Chr6,3927317,3927356,3,39,6
LFMM,49,Chr6,11462676,11462901,3,225,6
LFMM,50,Chr7,57423,796058,15,738635,7
LFMM,51,Chr7,1976297,1976353,5,56,7
LFMM,52,Chr7,5863801,5863839,3,38,7
LFMM,53,Chr7,6952607,6952648,3,41,7
LFMM,54,Chr7,9078916,9123792,5,44876,7
LFMM,55,Chr7,10531524,10912478,16,380954,7
LFMM,56,Chr7,14494398,14635485,5,141087,7
LFMM,57,Chr7,17986397,18595660,7,609263,7
LFMM,58,Chr7,11573263,11662441,6,89178,7
LFMM,59,Chr8,114069,453601,12,339532,8
LFMM,60,Chr8,1445971,1512168,14,66197,8
LFMM,61,Chr8,2781739,3535488,7,753749,8
LFMM,62,Chr8,5518850,6012744,3,493894,8
LFMM,63,Chr8,9261413,9392691,6,131278,8
LFMM,64,Chr8,10326828,10338470,18,11642,8
LFMM,65,Chr8,13485961,13725526,6,239565,8
LFMM,66,Chr8,17187342,17187646,6,304,8
LFMM,67,Chr8,18036422,18579859,3,543437,8
LFMM,68,Chr8,19190280,19295090,4,104810,8
LFMM,69,Chr9,300311,300595,9,284,9
LFMM,70,Chr9,3106293,4307596,9,1201303,9
LFMM,71,Chr9,9436467,9436669,3,202,9
LFMM,72,Chr9,14376496,14847229,8,470733,9
LFMM,73,Chr9,16563767,16573873,3,10106,9
LFMM,74,Chr9,19822486,19854593,4,32107,9
LFMM,75,Chr10,6239935,6700294,10,460359,10
LFMM,76,Chr10,14742288,15491573,5,749285,10
LFMM,77,Chr11,376,1194555,23,1194179,11
LFMM,78,Chr11,2035568,2202777,8,167209,11
LFMM,79,Chr11,6108931,6814754,17,705823,11
LFMM,80,Chr11,8858369,9081517,6,223148,11
LFMM,81,Chr11,9696289,9793886,4,97597,11
LFMM,82,Chr11,11990208,12258380,22,268172,11
LFMM,83,Chr12,2478477,3123781,18,645304,12
LFMM,84,Chr12,9904864,9904890,5,26,12
LFMM,85,Chr12,11748742,12148736,11,399994,12
LFMM,86,Chr12,15547672,15547738,12,66,12
LFMM,87,Chr12,16469054,18242526,25,1773472,12
LFMM,88,Chr13,6463201,6463238,3,37,13
LFMM,89,Chr13,16741155,16741188,5,33,13
LFMM,90,Chr13,17428443,17428466,3,23,13
LFMM,91,Chr13,17961516,18301254,4,339738,13
LFMM,92,Chr14,252721,672446,7,419725,14
