CELL,TAG,i,Chr,ldw,dcap,n_flag,n_runs,merge_opp,state
V0.5_c1,nobgs,1,Chr1,0.00625,10000,3225,479,0.957519379844961,admissible
V0.5_c1,nobgs,1,Chr1,0.00625,25000,3225,153,0.989147286821705,admissible
V0.5_c1,nobgs,1,Chr1,0.00625,50000,3225,55,0.996279069767442,admissible
V0.5_c1,nobgs,1,Chr1,0.00625,1e+05,3225,19,0.998449612403101,admissible
V0.5_c1,nobgs,1,Chr1,0.00625,250000,3225,7,0.99937984496124,admissible
V0.5_c1,nobgs,1,Chr1,0.00625,5e+05,3225,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.00625,1e+06,3225,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.00625,2500000,3225,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.00625,5e+06,3225,1,1,under_split
V0.5_c1,nobgs,1,Chr2,0.00625,10000,3732,436,0.964898177920686,admissible
V0.5_c1,nobgs,1,Chr2,0.00625,25000,3732,125,0.990085744908896,admissible
V0.5_c1,nobgs,1,Chr2,0.00625,50000,3732,48,0.997588424437299,admissible
V0.5_c1,nobgs,1,Chr2,0.00625,1e+05,3732,12,0.9997320471597,admissible
V0.5_c1,nobgs,1,Chr2,0.00625,250000,3732,4,1,admissible
V0.5_c1,nobgs,1,Chr2,0.00625,5e+05,3732,2,1,admissible
V0.5_c1,nobgs,1,Chr2,0.00625,1e+06,3732,1,1,under_split
V0.5_c1,nobgs,1,Chr2,0.00625,2500000,3732,1,1,under_split
V0.5_c1,nobgs,1,Chr2,0.00625,5e+06,3732,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.0125,10000,351,128,0.797720797720798,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,25000,351,83,0.888888888888889,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,50000,351,48,0.937321937321937,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,1e+05,351,27,0.977207977207977,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,250000,351,14,0.991452991452991,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,5e+05,351,8,1,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,1e+06,351,5,1,admissible
