chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R2_Chr1,4828728,9081861,4,406,373.7825,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R2_Chr1,3683105,4703608,3,113,101.2625,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R7_Chr1,6269453,7149952,10,81,37.2925,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R3_Chr1,11686748,11905145,6,15,10.58,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,TRUE,FALSE
R7_Chr1,5828039,6166149,9,23,8.46,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,FALSE,FALSE
R10_Chr2,12633870,12719353,16,10,5.8575,0,0.0099009900990099,0.0099009900990099,TRUE,0.7,FALSE,TRUE
R7_Chr2,9159531,9207001,12,7,3.4625,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R10_Chr1,15269045,15276968,15,6,1.6425,0,0.0099009900990099,0.0099009900990099,TRUE,0.5,FALSE,FALSE
R2_Chr1,2515746,2554504,2,5,1.6425,0,0.0099009900990099,0.0099009900990099,TRUE,0.433333333333333,FALSE,FALSE
R3_Chr1,2663544,2741595,5,4,2.38,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R3_Chr2,2720406,2725821,7,3,1.465,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R9_Chr2,1842791,1858012,14,3,1.3375,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R7_Chr2,3791377,3809834,11,3,0.9575,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R7_Chr1,706330,817843,8,4,0.9625,0,0.0099009900990099,0.0099009900990099,TRUE,0.3,FALSE,FALSE
R8_Chr1,9994494,10089125,13,10,0.91,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,FALSE
R1_Chr1,20328677,20346185,1,3,0.5825,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,FALSE
