marker	chr	scaffold	cM_FTC	cM_BEPA	old_chr	old_start	old_end	old_mid	new_chr	new_start	new_end	new_mid	bin_length
83_2	1	83	0.0	0.0	1	270042	540082	405062	1	1	270041	135021	270041
83_1	1	83	0.701	0.127	1	1	270041	135021	1	270042	540082	405062	270041
186_2	1	186		0.317	Un	37568202	37637380	37602791	1	610262	679440	644851	69179
92_1	1	92	1.417	0.534	1	541083	794592	667837	1	680441	933950	807195	253510
92_2	1	92	2.937	0.861	1	794593	1048102	921347	1	933951	1187460	1060705	253510
97_1	1	97	5.221	3.649	1	1049103	1296725	1172914	1	1188461	1436083	1312272	247623
97_2	1	97	6.603	5.317	1	1296726	1544349	1420537	1	1436084	1683707	1559895	247624
175_1	1	175	9.399	8.626	Un	36027951	36113661	36070806	1	1684708	1770418	1727563	85711
175_2	1	175	10.474	9.392	Un	36113662	36199373	36156517	1	1770419	1856130	1813274	85712
165_1	1	165	11.142	12.132	Un	34620012	34704198	34662105	1	1857131	1941317	1899224	84187
165_2	1	165	12.495	16.492	Un	34704199	34788385	34746292	1	1941318	2025504	1983411	84187
30_1	1	30	18.818	20.946	1	1545350	2033021	1789185	1	2026505	2514176	2270340	487672
30_2	1	30	25.045	28.649	1	2033022	2520693	2276857	1	2514177	3001848	2758012	487672
30_3	1	30	32.717	35.712	1	2520694	3008365	2764529	1	3001849	3489520	3245684	487672
30_4	1	30	36.42	40.21	1	3008366	3496037	3252201	1	3489521	3977192	3733356	487672
30_5	1	30	39.26	44.06	1	3496038	3983709	3739873	1	3977193	4464864	4221028	487672
30_6	1	30	42.59	47.952	1	3983710	4471381	4227545	1	4464865	4952536	4708700	487672
30_7	1	30	44.192	49.246	1	4471382	4959053	4715217	1	4952537	5440208	5196372	487672
30_8	1	30	44.979	50.816	1	4959054	5446725	5202889	1	5440209	5927880	5684044	487672
30_9	1	30	46.4	52.323	1	5446726	5934397	5690561	1	5927881	6415552	6171716	487672
7_1	1	7	47.654	53.006	1	5935398	6434893	6185145	1	6416553	6916048	6666300	499496
