set,Chr,region,reg_start,reg_end,p_snp,ov_kb
GlobalSpec,Chr21,136,7000338,7433726,1.40420684211e-11,433.39
PacSpec,Chr21,136,7000338,7433726,1.39654038369e-11,433.39
GlobalSpec,Chr1,13,21499390,21928710,4.45757421374e-15,429.32
PacSpec,Chr1,13,21499390,21928710,8.75400905492e-12,429.32
PacSpec,Chr16,113,16478564,17177070,2.36609489298e-09,350.3
PacSpec,Chr4,35,20891277,23367879,1.02354729969e-08,319.73
PacSpec,Chr4,35,20891277,23367879,3.77096373569e-09,292.51
PacSpec,Chr1,3,8871040,9993317,3.63532871005e-08,244.59
PacSpec,Chr11,80,8858369,9081517,1.11723230695e-11,208.26
PacSpec,Chr4,35,20891277,23367879,4.60895567696e-09,203.45
PacSpec,Chr7,57,17986397,18595660,1.60881452202e-10,181.83
PacSpec,Chr4,32,11101860,12283722,2.66134740582e-10,166.85
PacSpec,Chr1,3,8871040,9993317,6.11351407877e-09,155.24
PacSpec,Chr4,32,11101860,12283722,8.59383522452e-09,151.1
PacSpec,Chr4,33,14033947,14562585,6.06973969749e-11,134.21
PacSpec,Chr7,57,17986397,18595660,4.71572084189e-10,131.21
PacSpec,Chr11,79,6108931,6814754,1.01643933233e-07,123.31
PacSpec,Chr12,85,11748742,12148736,3.12750563794e-08,111.73
PacSpec,Chr4,35,20891277,23367879,8.40225395266e-09,100.71
PacSpec,Chr4,37,25233459,25987511,1.27085174916e-09,97.3
PacSpec,Chr4,35,20891277,23367879,2.34766606473e-08,94.44
PacSpec,Chr11,79,6108931,6814754,1.66434510557e-08,89.16
PacSpec,Chr8,63,9261413,9392691,4.35720599712e-10,87.6
PacSpec,Chr11,79,6108931,6814754,9.80846923654e-09,82.2
PacSpec,Chr4,37,25233459,25987511,3.12975514945e-11,81.22
PacSpec,Chr4,31,9429499,10504254,2.31063954393e-10,65.3
PacSpec,Chr4,33,14033947,14562585,3.50215054457e-09,60.81
PacSpec,Chr7,56,14494398,14635485,5.65249281136e-09,60.07
PacSpec,Chr18,119,798426,1885998,9.64878358701e-08,52.84
PacSpec,Chr12,85,11748742,12148736,1.15223891924e-08,51.82
PacSpec,Chr8,62,5518850,6012744,3.30540287673e-08,45.45
PacSpec,Chr12,85,11748742,12148736,2.569634306e-11,44.36
PacSpec,Chr20,130,6251212,6325080,1.04895699931e-10,27.31
PacSpec,Chr1,9,21065595,21519615,8.75400905492e-12,26.09
GlobalSpec,Chr1,9,21065595,21519615,4.45757421374e-15,24.75
GlobalSpec,Chr12,87,16469054,18242526,3.90537418442e-09,23.51
GlobalSpec,Chr8,63,9261413,9392691,5.18336335893e-08,18.99
PacSpec,Chr4,39,12114328,12132963,8.59383522452e-09,18.64
GlobalSpec,Chr7,57,17986397,18595660,1.44685237907e-12,18.44
PacSpec,Chr5,44,2482352,2500913,6.25426645433e-08,17.28
PacSpec,Chr4,31,9429499,10504254,2.446245169e-07,15.08
PacSpec,Chr16,111,11542810,11853909,8.88029639867e-08,14.85
GlobalSpec,Chr4,32,11101860,12283722,7.14435904414e-10,13.7
PacSpec,Chr14,96,10998500,11803366,4.06672559732e-08,10.58
GlobalSpec,Chr14,96,10998500,11803366,5.72357811165e-11,9.04
PacSpec,Chr11,77,376,1194555,3.12825045947e-10,5.38
PacSpec,Chr4,31,9429499,10504254,1.97266540168e-10,3.69
PacSpec,Chr1,4,12334577,12438529,3.55548009365e-08,2.78
GlobalSpec,Chr11,80,8858369,9081517,4.88372276069e-10,1.3
PacSpec,Chr11,79,6108931,6814754,5.83153104521e-08,0.3
PacSpec,Chr21,135,2182069,2182139,1.52168695366e-07,0.07
PacSpec,Chr4,36,24717532,24717573,4.35720599712e-10,0.04
PacSpec,Chr7,53,6952607,6952648,6.63586335562e-08,0.04
