label,n_sig_all,n_sig_U,n_det_all,S_G,S_U,D,Q,Q_over_D,A
A06_Chr4:27.55-27.55Mb,30,30,30,0.171428571428571,0.223880597014925,0.171428571428571,0.171428571428571,1,0.765714285714286
A08_Chr5:2.48-2.50Mb,26,26,26,0.148571428571429,0.194029850746269,0.148571428571429,0.148571428571429,1,0.765714285714286
A04_Chr4:22.51-22.51Mb,25,25,25,0.142857142857143,0.186567164179104,0.142857142857143,0.142857142857143,1,0.765714285714286
A02_Chr1:21.50-21.93Mb*inv,21,21,21,0.12,0.156716417910448,0.12,0.12,1,0.765714285714286
A15_Chr20:0.18-0.26Mb,21,21,21,0.12,0.156716417910448,0.12,0.12,1,0.765714285714286
A14_Chr18:5.61-5.61Mb,19,19,19,0.108571428571429,0.141791044776119,0.108571428571429,0.108571428571429,1,0.765714285714286
A09_Chr7:11.55-11.66Mb,16,16,16,0.0914285714285714,0.119402985074627,0.0914285714285714,0.0914285714285714,1,0.765714285714286
A11_Chr12:16.52-16.55Mb,13,13,13,0.0742857142857143,0.0970149253731343,0.0742857142857143,0.0742857142857143,1,0.765714285714286
A13_Chr17:9.94-9.94Mb,13,13,13,0.0742857142857143,0.0970149253731343,0.0742857142857143,0.0742857142857143,1,0.765714285714286
A07_Chr4:12.81-12.81Mb*Eda,12,12,12,0.0685714285714286,0.0895522388059701,0.0685714285714286,0.0685714285714286,1,0.765714285714286
A12_Chr17:6.55-6.77Mb,12,12,12,0.0685714285714286,0.0895522388059701,0.0685714285714286,0.0685714285714286,1,0.765714285714286
A01_Chr1:27.28-27.28Mb,11,11,11,0.0628571428571429,0.082089552238806,0.0628571428571429,0.0628571428571429,1,0.765714285714286
A10_Chr12:15.55-15.55Mb,10,10,10,0.0571428571428571,0.0746268656716418,0.0571428571428571,0.0571428571428571,1,0.765714285714286
A16_Chr20:3.67-3.67Mb,9,9,9,0.0514285714285714,0.0671641791044776,0.0514285714285714,0.0514285714285714,1,0.765714285714286
A17_Chr20:8.89-8.90Mb,9,9,9,0.0514285714285714,0.0671641791044776,0.0514285714285714,0.0514285714285714,1,0.765714285714286
A03_Chr3:13.03-13.03Mb,6,6,6,0.0342857142857143,0.0447761194029851,0.0342857142857143,0.0342857142857143,1,0.765714285714286
A05_Chr4:25.67-25.99Mb,6,6,6,0.0342857142857143,0.0447761194029851,0.0342857142857143,0.0342857142857143,1,0.765714285714286
