ridx,set,Chr,region,reg_start,reg_end,peak_start,peak_end,p_snp,ov_start,ov_end,ov_kb,chr_num,genes
1,GlobalSpec,Chr1,3,21499390,21928710,21494866,21940469,4.45757421374e-15,21499390,21928710,429.32,1,"tns1_(1_of_many), igfbp5_(1_of_many), igfbp2a, stk11ip, cx44.2, inha, spega, ctdsp1"
6,PacSpec,Chr1,3,21499390,21928710,21493522,21948120,8.75400905492e-12,21499390,21928710,429.32,1,"tns1_(1_of_many), igfbp5_(1_of_many), igfbp2a, stk11ip, cx44.2, inha, spega, ctdsp1"
32,PacSpec,Chr16,34,16478564,17177070,16460808,16828869,2.36609489298e-09,16478564,16828869,350.305,16,"fer1l6, prkag3b, ttll4, abcb6b, kalrna, ahr1b, ndufa10, cntnap5a"
17,PacSpec,Chr4,11,20891277,23367879,22731828,23051561,1.02354729969e-08,22731828,23051561,319.733,4,"large1, tmem121b, mkrn1, tmem178b, caprin2, ipo8"
14,PacSpec,Chr4,11,20891277,23367879,20985013,21277526,3.77096373569e-09,20985013,21277526,292.513,4,"slc2a13, spg4, iapp, pyroxd1, etnk1"
15,PacSpec,Chr4,11,20891277,23367879,21542413,21745859,4.60895567696e-09,21542413,21745859,203.446,4,"utp20, arl1, mapk11, mapk12b, rpap3, atp23, lrig3, slc16a7"
10,PacSpec,Chr4,9,11101860,12283722,11368273,11535124,2.66134740582e-10,11368273,11535124,166.851,4,"tmem126a, clk4a, rack1, nme5, hnrnpaba, phykpl, ctbp1, spon2a"
11,PacSpec,Chr4,9,11101860,12283722,11994667,12145772,8.59383522452e-09,11994667,12145772,151.105,4,"zdhhc15b, uprt, abcb7, nexmifb, rlim, irg1l_(1_of_many)"
13,PacSpec,Chr4,10,14033947,14562585,14428376,14585210,6.06973969749e-11,14428376,14562585,134.209,4,"gria1a, med7, itk, cyfip2"
24,PacSpec,Chr11,24,6108931,6814754,6247169,6370483,1.01643933233e-07,6247169,6370483,123.314,11,"mrc2, rnd2, vat1, phb, znf652"
28,PacSpec,Chr12,27,11748742,12148736,11874120,11985854,3.12750563794e-08,11874120,11985854,111.734,12,"rhocb, mov10b.1, wnt2b_(1_of_many)"
16,PacSpec,Chr4,11,20891277,23367879,22372506,22473219,8.40225395266e-09,22372506,22473219,100.713,4,"pik3cg, ptprz1b"
19,PacSpec,Chr4,12,25233459,25987511,24928210,25330758,1.27085174916e-09,25233459,25330758,97.299,4,nav3
18,PacSpec,Chr4,11,20891277,23367879,23123776,23218221,2.34766606473e-08,23123776,23218221,94.445,4,"tmtc1, ndufa5, aebp2"
25,PacSpec,Chr11,24,6108931,6814754,6563079,6652234,1.66434510557e-08,6563079,6652234,89.155,11,"rf00024, plxdc1, lasp1, arhgap23a"
23,PacSpec,Chr11,24,6108931,6814754,6086983,6191129,9.80846923654e-09,6108931,6191129,82.198,11,"fbxl20, neurod2_(1_of_many), stard3"
20,PacSpec,Chr4,12,25233459,25987511,25906296,26331267,3.12975514945e-11,25906296,25987511,81.215,4,"tm7sf3, fgfr1op2, med21, stk38l"
7,PacSpec,Chr4,8,9429499,10504254,9583807,9649110,2.31063954393e-10,9583807,9649110,65.303,4,"hrh2a, dock2"
12,PacSpec,Chr4,10,14033947,14562585,14312594,14373406,3.50215054457e-09,14312594,14373406,60.812,4,"foxi3a, wnt8a"
33,PacSpec,Chr18,37,798426,1885998,872620,925457,9.64878358701e-08,872620,925457,52.837,18,"adgrf3b, mep1a.2, mep1a.1"
29,PacSpec,Chr12,27,11748742,12148736,12096915,12172002,1.15223891924e-08,12096915,12148736,51.821,12,"csrp1a, tnni1a, tnnt2a, pkp1_(1_of_many), tead3a"
27,PacSpec,Chr12,27,11748742,12148736,11716696,11793100,2.569634306e-11,11748742,11793100,44.358,12,csad
3,GlobalSpec,Chr12,29,16469054,18242526,16523199,16546711,3.90537418442e-09,16523199,16546711,23.512,12,""
21,PacSpec,Chr5,15,2482352,2500913,2473807,2499628,6.25426645433e-08,2482352,2499628,17.276,5,""
8,PacSpec,Chr4,8,9429499,10504254,9842421,9857500,2.446245169e-07,9842421,9857500,15.079,4,pcdh1g33_(1_of_many)
31,PacSpec,Chr16,33,11542810,11853909,11610763,11625615,8.88029639867e-08,11610763,11625615,14.852,16,igf2bp2a
2,GlobalSpec,Chr4,9,11101860,12283722,11993489,12007191,7.14435904414e-10,11993489,12007191,13.702,4,zdhhc15b
30,PacSpec,Chr14,30,10998500,11803366,11352037,11362620,4.06672559732e-08,11352037,11362620,10.583,14,cel_(1_of_many)
4,GlobalSpec,Chr14,30,10998500,11803366,11353070,11362115,5.72357811165e-11,11353070,11362115,9.045,14,cel_(1_of_many)
22,PacSpec,Chr11,23,376,1194555,723151,728529,3.12825045947e-10,723151,728529,5.378,11,""
9,PacSpec,Chr4,8,9429499,10504254,10500566,10673781,1.97266540168e-10,10500566,10504254,3.688,4,""
5,PacSpec,Chr1,1,12334577,12438529,12435746,12492881,3.55548009365e-08,12435746,12438529,2.783,1,""
26,PacSpec,Chr11,24,6108931,6814754,6726284,6726586,5.83153104521e-08,6726284,6726586,0.302,11,""
