id,Chr,lo,hi,score,size,maxC,overlap_freq,null_max_overlap,emp_p,emp_q,lo_Mb,hi_Mb
9,Chr7,11554890,11662441,1.94,10,0.745,0.06,27.125,0.0784313725490196,0.333333333333333,11.555,11.662
12,Chr17,6545200,6770606,1.395,5,0.685,0.1,3.58,0.0784313725490196,0.333333333333333,6.545,6.771
4,Chr4,22510976,22511008,0.58,4,0.185,0.12,176.1875,0.137254901960784,0.333333333333333,22.511,22.511
17,Chr20,8893307,8895950,0.185,3,0.075,0.14,131.1975,0.156862745098039,0.333333333333333,8.893,8.896
3,Chr3,13030593,13030596,0.21,4,0.055,0.16,36.555,0.176470588235294,0.333333333333333,13.031,13.031
8,Chr5,2482545,2500921,2.585,22,0.3225,0.22,51.43,0.196078431372549,0.333333333333333,2.483,2.501
5,Chr4,25672935,25987511,0.23,3,0.1175,0.18,176.1875,0.196078431372549,0.333333333333333,25.673,25.988
13,Chr17,9943613,9943948,1.645,9,0.79,0.2,84.1,0.215686274509804,0.333333333333333,9.944,9.944
6,Chr4,27550523,27550786,1.26,5,0.4375,0.2,176.1875,0.215686274509804,0.333333333333333,27.551,27.551
14,Chr18,5613929,5613964,0.5025,3,0.2525,0.2,31.3525,0.215686274509804,0.333333333333333,5.614,5.614
10,Chr12,15547672,15547687,0.34,4,0.1275,0.2,60.0175,0.215686274509804,0.333333333333333,15.548,15.548
7,Chr4,12809075,12811617,0.4875,4,0.305,0.22,79.5825,0.235294117647059,0.333333333333333,12.809,12.812
2,Chr1,21496118,21928730,25.005,245,0.765,0.52,143.9175,0.254901960784314,0.333333333333333,21.496,21.929
1,Chr1,27283118,27283137,0.355,3,0.1875,0.26,28.285,0.274509803921569,0.333333333333333,27.283,27.283
16,Chr20,3669679,3669694,0.405,3,0.285,0.4,131.1975,0.411764705882353,0.450980392156863,3.67,3.67
15,Chr20,181891,261002,4.755,33,0.5775,0.54,109.3475,0.431372549019608,0.450980392156863,0.182,0.261
11,Chr12,16522011,16546969,0.755,5,0.4,0.44,60.0175,0.450980392156863,0.450980392156863,16.522,16.547
