cell,tag,env,file,qtn,stage1_size,region_degree,r2_link
V0.5_c1,bgs,1,1,Chr1:15970511,12,38,0.272
V0.5_c1,bgs,1,1,Chr1:8828144,28,24,0.272
V0.5_c1,bgs,1,4,Chr1:28544935,8,27,0.268
V0.5_c1,bgs,1,7,Chr1:10406475,110,53,0.278
V0.5_c1,bgs,4,1,Chr1:2725006,2,1,0.271
V0.5_c1,bgs,4,4,Chr1:12681700,24,23,0.267
V0.5_c1,bgs,4,4,Chr1:13254225,24,28,0.267
V0.5_c1,bgs,4,4,Chr1:8501782,30,78,0.267
V0.5_c1,bgs,4,7,Chr1:12122171,9,42,0.274
V0.5_c1,bgs,4,7,Chr1:12563257,17,41,0.274
V0.5_c1,bgs,7,1,Chr1:14259171,2,12,0.273
V0.5_c1,bgs,7,1,Chr1:8828144,12,26,0.273
V0.5_c1,bgs,7,4,Chr1:1601493,18,33,0.268
V0.5_c1,bgs,7,4,Chr1:8501782,13,32,0.268
V0.5_c1,bgs,7,7,Chr1:8136205,16,13,0.272
V0.5_c1,bgs,7,7,Chr1:9445182,13,56,0.272
V0.5_c1,bgs,10,1,Chr1:21168212,15,37,0.268
V0.5_c1,bgs,10,4,Chr1:14776470,22,35,0.27
V0.5_c1,bgs,10,4,Chr1:8501782,14,32,0.27
V0.5_c1,bgs,10,7,Chr1:17238505,21,30,0.272
V0.5_c1,bgs,10,7,Chr1:6878232,12,30,0.272
V0.5_c1,nobgs,1,1,Chr1:1573020,7,23,0.265
V0.5_c1,nobgs,1,1,Chr1:16646028,13,27,0.265
V0.5_c1,nobgs,1,4,Chr1:28544935,37,44,0.272
V0.5_c1,nobgs,1,4,Chr1:5833265,39,14,0.272
V0.5_c1,nobgs,1,7,Chr1:12563257,24,34,0.274
V0.5_c1,nobgs,1,7,Chr1:4883363,3,41,0.274
V0.5_c1,nobgs,4,1,Chr1:2725006,2,2,0.268
V0.5_c1,nobgs,4,1,Chr1:9169535,43,38,0.268
V0.5_c1,nobgs,4,4,Chr1:23744478,130,26,0.271
V0.5_c1,nobgs,4,4,Chr1:5833265,52,15,0.271
V0.5_c1,nobgs,4,7,Chr1:1424386,258,38,0.274
V0.5_c1,nobgs,4,7,Chr1:781559,50,41,0.274
V0.5_c1,nobgs,7,1,Chr1:17603282,31,57,0.273
V0.5_c1,nobgs,7,4,Chr1:23964676,209,47,0.273
V0.5_c1,nobgs,7,7,Chr1:6878232,25,88,0.274
V0.5_c1,nobgs,7,7,Chr1:9445182,54,72,0.274
V0.5_c1,nobgs,10,1,Chr1:14259171,8,6,0.272
V0.5_c1,nobgs,10,4,Chr1:23964676,32,41,0.274
V0.5_c1,nobgs,10,4,Chr1:28923495,2,10,0.274
V0.5_c1,nobgs,10,7,Chr1:12280348,12,36,0.269
V0.5_c2,bgs,1,1,Chr1:26628538,2,1,0.617
V0.5_c2,bgs,1,1,Chr1:29057931,27,9,0.617
V0.5_c2,bgs,1,1,Chr1:4253979,36,14,0.617
V0.5_c2,bgs,1,1,Chr1:9169535,6,0,0.617
V0.5_c2,bgs,1,4,Chr1:12773199,26,26,0.603
V0.5_c2,bgs,1,4,Chr1:472070,1,0,0.603
V0.5_c2,bgs,1,4,Chr1:5833265,17,3,0.603
V0.5_c2,bgs,1,7,Chr1:15813893,2,0,0.656
V0.5_c2,bgs,1,7,Chr1:650252,21,9,0.656
V0.5_c2,bgs,1,7,Chr1:6872148,5,31,0.656
V0.5_c2,bgs,1,7,Chr1:6878232,44,14,0.656
V0.5_c2,bgs,1,7,Chr1:9277642,10,8,0.656
V0.5_c2,bgs,4,1,Chr1:13664037,68,7,0.628
V0.5_c2,bgs,4,1,Chr1:26628538,1,0,0.628
