size,chr,lo,hi,score,c2,locus
245,1,21496118,21928730,25.005,1,Chr1:21.50-21.93 (inversion)
33,20,181891,261002,4.755,0.746268656716418,Chr20:0.18-0.26
10,7,11554890,11662441,1.94,0.507462686567164,Chr7:11.55-11.66
22,5,2482545,2500921,2.585,0.447761194029851,Chr5:2.48-2.50
5,17,6545200,6770606,1.395,0.417910447761194,Chr17:6.55-6.77
5,4,27550523,27550786,1.26,0.388059701492537,Chr4:27.55-27.55
9,17,9943613,9943948,1.645,0.350746268656716,Chr17:9.94-9.94
5,12,16522011,16546969,0.755,0.253731343283582,Chr12:16.52-16.55
4,4,22510976,22511008,0.58,0.186567164179104,Chr4:22.51-22.51
3,18,5613929,5613964,0.5025,0.186567164179104,Chr18:5.61-5.61
4,4,12809075,12811617,0.4875,0.17910447761194,Chr4:12.81-12.81 (Eda)
3,20,3669679,3669694,0.405,0.149253731343284,Chr20:3.67-3.67
3,1,27283118,27283137,0.355,0.119402985074627,Chr1:27.28-27.28
4,12,15547672,15547687,0.34,0.0970149253731343,Chr12:15.55-15.55
3,20,8893307,8895950,0.185,0.0746268656716418,Chr20:8.89-8.90
3,4,25672935,25987511,0.23,0.0447761194029851,Chr4:25.67-25.99
4,3,13030593,13030596,0.21,0.0447761194029851,Chr3:13.03-13.03
