CELL,TAG,i,Chr,n_flagged,n_gap,med,q99,mx,over_1e5,over_5e5,d_der,over_der
V0.5_c1,nobgs,1,Chr1,42,41,-843109,10020307.4,12744075,6,5,724286.11864651,3
V0.5_c1,nobgs,1,Chr2,58,57,-1656,9318661.83999997,16578382,8,4,724286.11864651,3
V0.5_c1,nobgs,2,Chr1,54,53,-12963,3428266.44,3715529,11,4,1806239.25675995,3
V0.5_c1,nobgs,2,Chr2,15,14,25887,9968867.36999999,10442386,5,2,1806239.25675995,2
V0.5_c1,nobgs,3,Chr1,71,70,-37757.5,517402.850000001,732707,6,1,1127701.8741681,0
V0.5_c1,nobgs,3,Chr2,30,29,-203970,1685479.96,2230302,4,1,1127701.8741681,1
V0.5_c1,nobgs,4,Chr1,105,104,-31844,4165508.38,16083953,12,5,701996.488207653,4
V0.5_c1,nobgs,4,Chr2,58,57,-772521,9944069.23999997,16896859,7,3,701996.488207653,2
V0.5_c1,nobgs,5,Chr1,99,98,-16841,1421444.68,3372072,8,3,1731213.78856584,1
V0.5_c1,nobgs,5,Chr2,81,80,-72940,1162543.96999997,4567489,8,1,1731213.78856584,1
V0.5_c1,nobgs,6,Chr1,64,63,-20243,5432246.20000001,7663341,9,3,675755.913304283,3
V0.5_c1,nobgs,6,Chr2,42,41,-195361,7722961.00000001,10204925,5,3,675755.913304283,2
V0.5_c1,nobgs,7,Chr1,138,137,-95964,2827163.43999995,5990360,6,2,777164.105563476,2
V0.5_c1,nobgs,7,Chr2,95,94,-543696,674954.989999969,4919993,7,1,777164.105563476,1
V0.5_c1,nobgs,8,Chr1,200,199,-23785,171867.940000001,354087,4,0,1068303.83343984,0
V0.5_c1,nobgs,8,Chr2,51,50,-88077,6796393.05,7298376,8,2,1068303.83343984,2
V0.5_c1,nobgs,9,Chr1,200,199,-19912,297241.3,5932685,10,1,1048794.49216378,1
V0.5_c1,nobgs,9,Chr2,86,85,-141296,1598828.55999998,6349609,13,2,1048794.49216378,1
V0.5_c1,nobgs,10,Chr1,81,80,-27019,1223049.09999998,3718825,2,2,2008696.12759793,1
V0.5_c1,nobgs,10,Chr2,59,58,-6779.5,3294607.49,4184003,10,2,2008696.12759793,2
