id,Chr,lo,hi,score,size,maxC,overlap_freq,null_max_overlap,emp_p,emp_q,lo_Mb,hi_Mb
2,Chr1,21496118,21928730,25.005,245,0.765,0.065,175.79,0.0149253731343284,0.0845771144278607,21.496,21.929
8,Chr5,2482545,2500921,2.585,22,0.3225,0.035,26.48,0.0199004975124378,0.0845771144278607,2.483,2.501
13,Chr17,9943613,9943948,1.645,9,0.79,0.03,8.2875,0.0199004975124378,0.0845771144278607,9.944,9.944
12,Chr17,6545200,6770606,1.395,5,0.685,0.03,8.2875,0.0199004975124378,0.0845771144278607,6.545,6.771
15,Chr20,181891,261002,4.755,33,0.5775,0.055,12.7275,0.0248756218905473,0.0845771144278607,0.182,0.261
3,Chr3,13030593,13030596,0.21,4,0.055,0.03,9.38,0.0348258706467662,0.0986733001658375,13.031,13.031
14,Chr18,5613929,5613964,0.5025,3,0.2525,0.045,7.74,0.0447761194029851,0.0999547715965626,5.614,5.614
16,Chr20,3669679,3669694,0.405,3,0.285,0.055,12.7275,0.0597014925373134,0.0999547715965626,3.67,3.67
17,Chr20,8893307,8895950,0.185,3,0.075,0.055,12.7275,0.0597014925373134,0.0999547715965626,8.893,8.896
9,Chr7,11554890,11662441,1.94,10,0.745,0.075,33.815,0.0646766169154229,0.0999547715965626,11.555,11.662
1,Chr1,27283118,27283137,0.355,3,0.1875,0.065,175.79,0.0646766169154229,0.0999547715965626,27.283,27.283
11,Chr12,16522011,16546969,0.755,5,0.4,0.095,31.97,0.0796019900497513,0.111007462686567,16.522,16.547
10,Chr12,15547672,15547687,0.34,4,0.1275,0.095,31.97,0.0895522388059701,0.111007462686567,15.548,15.548
6,Chr4,27550523,27550786,1.26,5,0.4375,0.11,70.7225,0.0995024875621891,0.111007462686567,27.551,27.551
4,Chr4,22510976,22511008,0.58,4,0.185,0.11,70.7225,0.104477611940299,0.111007462686567,22.511,22.511
7,Chr4,12809075,12811617,0.4875,4,0.305,0.11,70.7225,0.104477611940299,0.111007462686567,12.809,12.812
5,Chr4,25672935,25987511,0.23,3,0.1175,0.11,70.7225,0.114427860696517,0.114427860696517,25.673,25.988
