CELL,TAG,i,Chr,ldw,n_all,n_flag,n_gap,over,mx
V0.5_c1,nobgs,1,Chr1,0.0125,13456,351,350,26,9299386
V0.5_c1,nobgs,1,Chr2,0.0125,13456,392,391,36,4382507
V0.5_c1,nobgs,1,Chr1,0.025,13456,42,41,6,12744075
V0.5_c1,nobgs,1,Chr2,0.025,13456,58,57,8,16578382
V0.5_c1,nobgs,1,Chr1,0.05,13456,12,11,2,5286061
V0.5_c1,nobgs,1,Chr2,0.05,13456,12,11,3,5270320
V0.5_c1,nobgs,1,Chr1,0.1,13456,4,3,0,-1585554
V0.5_c1,nobgs,2,Chr1,0.0125,9558,288,287,31,4410424
V0.5_c1,nobgs,2,Chr2,0.0125,9558,262,261,26,4043028
V0.5_c1,nobgs,2,Chr1,0.025,9558,54,53,11,3715529
V0.5_c1,nobgs,2,Chr2,0.025,9558,15,14,5,10442386
V0.5_c1,nobgs,2,Chr1,0.05,9558,23,22,3,358351
V0.5_c1,nobgs,2,Chr1,0.1,9558,12,11,2,358351
V0.5_c1,nobgs,3,Chr1,0.0125,9743,369,368,18,5483831
V0.5_c1,nobgs,3,Chr2,0.0125,9743,250,249,13,3974494
V0.5_c1,nobgs,3,Chr1,0.025,9743,71,70,6,732707
V0.5_c1,nobgs,3,Chr2,0.025,9743,30,29,4,2230302
V0.5_c1,nobgs,3,Chr1,0.05,9743,9,8,3,1715747
V0.5_c1,nobgs,3,Chr2,0.05,9743,4,3,2,2774039
V0.5_c1,nobgs,3,Chr1,0.1,9743,5,4,0,14119
V0.5_c1,nobgs,4,Chr1,0.0125,13286,505,504,33,2082820
V0.5_c1,nobgs,4,Chr2,0.0125,13286,295,294,29,3587640
V0.5_c1,nobgs,4,Chr1,0.025,13286,105,104,12,16083953
V0.5_c1,nobgs,4,Chr2,0.025,13286,58,57,7,16896859
V0.5_c1,nobgs,4,Chr1,0.05,13286,24,23,3,16432714
V0.5_c1,nobgs,4,Chr2,0.05,13286,17,16,3,16967527
V0.5_c1,nobgs,4,Chr1,0.1,13286,9,8,2,16450369
V0.5_c1,nobgs,4,Chr2,0.1,13286,8,7,0,-454986
V0.5_c1,nobgs,5,Chr1,0.0125,7466,342,341,14,1862867
V0.5_c1,nobgs,5,Chr2,0.0125,7466,500,499,11,3123619
V0.5_c1,nobgs,5,Chr1,0.025,7466,99,98,8,3372072
V0.5_c1,nobgs,5,Chr2,0.025,7466,81,80,8,4567489
V0.5_c1,nobgs,5,Chr1,0.05,7466,38,37,2,4248463
V0.5_c1,nobgs,5,Chr2,0.05,7466,12,11,1,899831
V0.5_c1,nobgs,5,Chr1,0.1,7466,16,15,0,49110
V0.5_c1,nobgs,5,Chr2,0.1,7466,4,3,0,-54166
V0.5_c1,nobgs,6,Chr1,0.0125,9929,474,473,20,3234583
V0.5_c1,nobgs,6,Chr2,0.0125,9929,476,475,27,2049130
V0.5_c1,nobgs,6,Chr1,0.025,9929,64,63,9,7663341
V0.5_c1,nobgs,6,Chr2,0.025,9929,42,41,5,10204925
V0.5_c1,nobgs,6,Chr1,0.05,9929,5,4,2,10611596
V0.5_c1,nobgs,6,Chr2,0.05,9929,6,5,3,4133593
V0.5_c1,nobgs,7,Chr1,0.0125,8621,467,466,10,4446526
V0.5_c1,nobgs,7,Chr2,0.0125,8621,363,362,12,5246702
V0.5_c1,nobgs,7,Chr1,0.025,8621,138,137,6,5990360
V0.5_c1,nobgs,7,Chr2,0.025,8621,95,94,7,4919993
V0.5_c1,nobgs,7,Chr1,0.05,8621,53,52,1,5606163
V0.5_c1,nobgs,7,Chr2,0.05,8621,33,32,2,5274555
V0.5_c1,nobgs,7,Chr1,0.1,8621,23,22,0,50483
V0.5_c1,nobgs,7,Chr2,0.1,8621,8,7,1,5573715
V0.5_c1,nobgs,8,Chr1,0.0125,10524,480,479,15,2978901
V0.5_c1,nobgs,8,Chr2,0.0125,10524,350,349,18,3645075
V0.5_c1,nobgs,8,Chr1,0.025,10524,200,199,4,354087
V0.5_c1,nobgs,8,Chr2,0.025,10524,51,50,8,7298376
V0.5_c1,nobgs,8,Chr1,0.05,10524,86,85,4,354087
V0.5_c1,nobgs,8,Chr2,0.05,10524,6,5,2,311862
V0.5_c1,nobgs,8,Chr1,0.1,10524,37,36,3,174176
V0.5_c1,nobgs,9,Chr1,0.0125,9598,482,481,17,2808901
V0.5_c1,nobgs,9,Chr2,0.0125,9598,443,442,24,2173024
V0.5_c1,nobgs,9,Chr1,0.025,9598,200,199,10,5932685
V0.5_c1,nobgs,9,Chr2,0.025,9598,86,85,13,6349609
V0.5_c1,nobgs,9,Chr1,0.05,9598,84,83,6,7290727
V0.5_c1,nobgs,9,Chr2,0.05,9598,13,12,5,869345
V0.5_c1,nobgs,9,Chr1,0.1,9598,28,27,2,9174280
V0.5_c1,nobgs,10,Chr1,0.0125,8149,277,276,18,2916826
V0.5_c1,nobgs,10,Chr2,0.0125,8149,489,488,15,3007236
V0.5_c1,nobgs,10,Chr1,0.025,8149,81,80,2,3718825
V0.5_c1,nobgs,10,Chr2,0.025,8149,59,58,10,4184003
V0.5_c1,nobgs,10,Chr1,0.05,8149,35,34,2,559615
V0.5_c1,nobgs,10,Chr2,0.05,8149,7,6,1,250384
V0.5_c1,nobgs,10,Chr1,0.1,8149,22,21,2,559615
V0.5_c1,bgs,1,Chr1,0.0125,12281,493,492,26,6612321
V0.5_c1,bgs,1,Chr2,0.0125,12281,325,324,14,10254259
V0.5_c1,bgs,1,Chr1,0.025,12281,128,127,12,15871752
V0.5_c1,bgs,1,Chr2,0.025,12281,56,55,5,16217300
V0.5_c1,bgs,1,Chr1,0.05,12281,28,27,5,16989040
V0.5_c1,bgs,1,Chr2,0.05,12281,14,13,2,18384510
V0.5_c1,bgs,1,Chr1,0.1,12281,10,9,1,4455809
V0.5_c1,bgs,1,Chr2,0.1,12281,9,8,1,4229666
V0.5_c1,bgs,2,Chr1,0.0125,8523,265,264,20,4455301
V0.5_c1,bgs,2,Chr2,0.0125,8523,273,272,26,3477655
V0.5_c1,bgs,2,Chr1,0.025,8523,20,19,3,9913141
V0.5_c1,bgs,2,Chr2,0.025,8523,14,13,3,5880933
V0.5_c1,bgs,2,Chr1,0.05,8523,2,1,0,-273410
V0.5_c1,bgs,3,Chr1,0.0125,8304,651,650,16,2285464
V0.5_c1,bgs,3,Chr2,0.0125,8304,306,305,14,3716702
V0.5_c1,bgs,3,Chr1,0.025,8304,87,86,11,3701689
V0.5_c1,bgs,3,Chr2,0.025,8304,43,42,3,2109745
V0.5_c1,bgs,3,Chr1,0.05,8304,9,8,4,10396777
V0.5_c1,bgs,3,Chr2,0.05,8304,4,3,1,2363016
V0.5_c1,bgs,4,Chr1,0.0125,11714,359,358,30,2702607
V0.5_c1,bgs,4,Chr2,0.0125,11714,240,239,25,3505567
V0.5_c1,bgs,4,Chr1,0.025,11714,118,117,6,16562291
V0.5_c1,bgs,4,Chr2,0.025,11714,42,41,7,16735619
V0.5_c1,bgs,4,Chr1,0.05,11714,51,50,4,16445183
V0.5_c1,bgs,4,Chr2,0.05,11714,7,6,1,17039839
V0.5_c1,bgs,4,Chr1,0.1,11714,12,11,1,113850
V0.5_c1,bgs,5,Chr1,0.0125,5940,416,415,12,1372243
V0.5_c1,bgs,5,Chr2,0.0125,5940,335,334,16,1798432
V0.5_c1,bgs,5,Chr1,0.025,5940,140,139,5,2700622
V0.5_c1,bgs,5,Chr2,0.025,5940,92,91,4,4172711
V0.5_c1,bgs,5,Chr1,0.05,5940,52,51,4,4412137
V0.5_c1,bgs,5,Chr2,0.05,5940,18,17,2,4883051
V0.5_c1,bgs,5,Chr1,0.1,5940,24,23,1,103718
V0.5_c1,bgs,5,Chr2,0.1,5940,5,4,1,253652
V0.5_c1,bgs,6,Chr1,0.0125,8058,590,589,19,2857501
V0.5_c1,bgs,6,Chr2,0.0125,8058,507,506,19,3054816
V0.5_c1,bgs,6,Chr1,0.025,8058,81,80,5,7637724
V0.5_c1,bgs,6,Chr2,0.025,8058,87,86,6,9322082
V0.5_c1,bgs,6,Chr1,0.05,8058,33,32,3,10512183
V0.5_c1,bgs,6,Chr2,0.05,8058,24,23,4,4054358
V0.5_c1,bgs,6,Chr1,0.1,8058,13,12,3,4132423
V0.5_c1,bgs,6,Chr2,0.1,8058,9,8,3,4384817
V0.5_c1,bgs,7,Chr1,0.0125,7250,543,542,15,2781237
V0.5_c1,bgs,7,Chr2,0.0125,7250,532,531,8,4224169
V0.5_c1,bgs,7,Chr1,0.025,7250,138,137,5,5948957
V0.5_c1,bgs,7,Chr2,0.025,7250,69,68,8,5334237
V0.5_c1,bgs,7,Chr1,0.05,7250,47,46,4,6134417
V0.5_c1,bgs,7,Chr2,0.05,7250,17,16,2,6650037
V0.5_c1,bgs,7,Chr1,0.1,7250,23,22,2,6893448
V0.5_c1,bgs,7,Chr2,0.1,7250,6,5,1,5093118
V0.5_c1,bgs,8,Chr1,0.0125,9191,588,587,16,3140656
