marker	old_chr	old_start	old_end	new_chr	new_start	new_end	bin_length	cM_FTC	cM_BEPA	rate_FTC	rate_BEPA	rate_ROESTI	rel_FTC	rel_BEPA	rel_ROESTI	n_crosses	rel_consensus	rel_sd	rank_sd	disagree	concordant	rate_consensus_cMperMb
83_1	1	1	270041	1	270042	540082	270041	0.701	0.127	2.1081	0.6218	0	0.5383	0.1266	0	3	0.2216	0.2815	0.2509	0.9368	FALSE	0.6892
83_2	1	270042	540082	1	1	270041	270041	0	0	2.5959	0.4703	0	0.6629	0.0958	0	3	0.2529	0.3583	0.2977	0.9253	FALSE	0.7865
92_1	1	541083	794592	1	680441	933950	253510	1.417	0.534	3.4104	1.3082	1.0646	0.8709	0.2664	0.3304	3	0.4892	0.3321	0.1995	0.7414	TRUE	1.5214
92_2	1	794593	1048102	1	933951	1187460	253510	2.937	0.861	7.5315	6.1674	3	1.9232	1.2561	0.931	3	1.3701	0.5058	0.0874	0.6609	TRUE	4.261
97_1	1	1049103	1296725	1	1188461	1436083	247623	5.221	3.649	7.3439	8.9265	4.1598	1.8753	1.818	1.2909	3	1.6614	0.3221	0.0482	0.2471	TRUE	5.167
97_2	1	1296726	1544349	1	1436084	1683707	247624	6.603	5.317	10.0604	11.9844	14.0183	2.569	2.4408	4.3503	3	3.12	1.0674	0.0644	0.8466	FALSE	9.7032
30_1	1	1545350	2033021	1	2026505	2514176	487672	18.818	20.946	16.2019	15.6945	17.5278	4.1373	3.1965	5.4394	3	4.2577	1.1263	0.0291	0.358	TRUE	13.2414
30_2	1	2033022	2520693	1	2514177	3001848	487672	25.045	28.649	14.2504	15.1393	13.8916	3.639	3.0834	4.311	3	3.6778	0.6147	0.0297	0.392	TRUE	11.438
30_3	1	2520694	3008365	1	3001849	3489520	487672	32.717	35.712	11.6626	11.8533	10.9933	2.9782	2.4141	3.4115	3	2.9346	0.5001	0.0401	0.6761	TRUE	9.1266
30_4	1	3008366	3496037	1	3489521	3977192	487672	36.42	40.21	6.7084	8.559	5.7115	1.7131	1.7432	1.7724	3	1.7429	0.0297	0.0111	0.0632	TRUE	5.4204
30_5	1	3496038	3983709	1	3977193	4464864	487672	39.26	44.06	6.326	7.9377	7.0765	1.6154	1.6167	2.196	3	1.8094	0.3348	0.0469	0.431	TRUE	5.6272
30_6	1	3983710	4471381	1	4464865	4952536	487672	42.59	47.952	5.0567	5.3171	6.2083	1.2913	1.0829	1.9266	3	1.4336	0.4395	0.0719	0.5	TRUE	4.4585
30_7	1	4471382	4959053	1	4952537	5440208	487672	44.192	49.246	2.4494	2.9364	3.4722	0.6255	0.598	1.0775	3	0.767	0.2693	0.0813	0.3807	TRUE	2.3854
30_8	1	4959054	5446725	1	5440209	5927880	487672	44.979	50.816	2.2638	3.1548	3.3699	0.5781	0.6425	1.0458	3	0.7555	0.2535	0.0851	0.3218	TRUE	2.3496
30_9	1	5446726	5934397	1	5927881	6415552	487672	46.4	52.323	2.7233	2.2296	3.0831	0.6954	0.4541	0.9568	3	0.7021	0.2514	0.1034	0.477	TRUE	2.1835
