method,region,Chr,start,end,n_snp,span
EMMAX,1,Chr1,27283118,27283137,3,19
EMMAX,2,Chr1,21496118,21928730,245,432612
EMMAX,3,Chr3,13030593,13030596,4,3
EMMAX,4,Chr4,22510976,22511008,4,32
EMMAX,5,Chr4,25672935,25987511,3,314576
EMMAX,6,Chr4,27550523,27550786,5,263
EMMAX,7,Chr4,12809075,12811617,4,2542
EMMAX,8,Chr5,2482545,2500921,22,18376
EMMAX,9,Chr7,11554890,11662441,10,107551
EMMAX,10,Chr12,15547672,15547687,4,15
EMMAX,11,Chr12,16522011,16546969,5,24958
EMMAX,12,Chr17,6545200,6770606,5,225406
EMMAX,13,Chr17,9943613,9943948,9,335
EMMAX,14,Chr18,5613929,5613964,3,35
EMMAX,15,Chr20,181891,261002,33,79111
EMMAX,16,Chr20,3669679,3669694,3,15
EMMAX,17,Chr20,8893307,8895950,3,2643
LFMM,1,Chr1,1904895,2511356,6,606461
LFMM,2,Chr1,6297332,6302385,3,5053
LFMM,3,Chr1,8871040,9993317,5,1122277
LFMM,4,Chr1,12334577,12438529,11,103952
LFMM,5,Chr1,15327208,15612105,4,284897
LFMM,6,Chr1,17969169,18290612,3,321443
LFMM,7,Chr1,19281745,19374576,9,92831
LFMM,8,Chr1,19886251,19891415,5,5164
LFMM,9,Chr1,21065595,21519615,4,454020
LFMM,10,Chr1,22152196,22451164,3,298968
LFMM,11,Chr1,25068370,25593910,7,525540
LFMM,12,Chr1,26932748,27292439,18,359691
LFMM,13,Chr1,21499390,21928710,129,429320
LFMM,14,Chr2,21043,21054,3,11
LFMM,15,Chr2,665894,1516636,5,850742
LFMM,16,Chr2,2080525,2466512,7,385987
LFMM,17,Chr2,7549921,7550159,8,238
LFMM,18,Chr2,9425758,9559052,12,133294
LFMM,19,Chr2,13564267,13564297,7,30
LFMM,20,Chr2,22517143,22881514,15,364371
LFMM,21,Chr2,1731185,1731666,3,481
LFMM,22,Chr3,3763429,4541884,10,778455
LFMM,23,Chr3,5066800,5066849,8,49
LFMM,24,Chr3,5980233,5980522,7,289
LFMM,25,Chr3,6722692,6724735,13,2043
LFMM,26,Chr3,9401794,9406867,7,5073
LFMM,27,Chr3,489240,489246,3,6
LFMM,28,Chr3,13030593,13030596,4,3
LFMM,29,Chr4,2092724,2092739,4,15
LFMM,30,Chr4,8753994,8797525,9,43531
LFMM,31,Chr4,9429499,10504254,23,1074755
LFMM,32,Chr4,11101860,12283722,16,1181862
LFMM,33,Chr4,14033947,14562585,17,528638
LFMM,34,Chr4,15285431,15285527,5,96
LFMM,35,Chr4,20891277,23367879,48,2476602
LFMM,36,Chr4,24717532,24717573,3,41
LFMM,37,Chr4,25233459,25987511,13,754052
LFMM,38,Chr4,26490824,27550786,26,1059962
LFMM,39,Chr4,12114328,12132963,3,18635
LFMM,40,Chr4,25675660,25675666,3,6
LFMM,41,Chr5,1546722,1606316,15,59594
LFMM,42,Chr5,2821231,3113639,3,292408
LFMM,43,Chr5,10523750,10523775,3,25
LFMM,44,Chr5,2482352,2500913,19,18561
LFMM,45,Chr6,347891,764426,3,416535
LFMM,46,Chr6,1404905,1405132,10,227
LFMM,47,Chr6,2132780,2591928,6,459148
LFMM,48,Chr6,3927317,3927356,3,39
LFMM,49,Chr6,11462676,11462901,3,225
LFMM,50,Chr7,57423,796058,15,738635
LFMM,51,Chr7,1976297,1976353,5,56
LFMM,52,Chr7,5863801,5863839,3,38
LFMM,53,Chr7,6952607,6952648,3,41
