method,region,Chr,start,end,n_snp,span,chr_num
EMMAX,1,Chr1,27283118,27283137,3,19,1
EMMAX,2,Chr1,21496118,21928730,245,432612,1
EMMAX,3,Chr3,13030593,13030596,4,3,3
EMMAX,4,Chr4,22510976,22511008,4,32,4
EMMAX,5,Chr4,25672935,25987511,3,314576,4
EMMAX,6,Chr4,27550523,27550786,5,263,4
EMMAX,7,Chr4,12809075,12811617,4,2542,4
EMMAX,8,Chr5,2482545,2500921,22,18376,5
EMMAX,9,Chr7,11554890,11662441,10,107551,7
EMMAX,10,Chr12,15547672,15547687,4,15,12
EMMAX,11,Chr12,16522011,16546969,5,24958,12
EMMAX,12,Chr17,6545200,6770606,5,225406,17
EMMAX,13,Chr17,9943613,9943948,9,335,17
EMMAX,14,Chr18,5613929,5613964,3,35,18
EMMAX,15,Chr20,181891,261002,33,79111,20
EMMAX,16,Chr20,3669679,3669694,3,15,20
EMMAX,17,Chr20,8893307,8895950,3,2643,20
