file,Chr,n_win,rho
1,Chr1,18,0.73374613003096
1,Chr2,18,0.746130030959752
2,Chr1,18,0.814241486068111
2,Chr2,18,0.649122807017544
3,Chr1,18,0.890608875128999
3,Chr2,19,0.92280701754386
4,Chr1,19,0.401754385964912
4,Chr2,18,0.43859649122807
5,Chr1,17,0.767156862745098
5,Chr2,18,0.665634674922601
6,Chr1,18,0.700722394220846
6,Chr2,18,0.884416924664603
7,Chr1,18,0.937969910853625
7,Chr2,19,0.936730787321907
8,Chr1,18,0.867905056759546
8,Chr2,18,0.727554179566563
9,Chr1,18,0.865841073271414
9,Chr2,18,0.873515862406635
10,Chr1,18,0.690402476780186
10,Chr2,19,0.457894736842105
